구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년02월03일,1832.84,1741.45,1731.23,1740.09,1722.81,1743.45,1744.97,1745.83,1751.79,1741.58,1749.94,1732.18,1734.12,1732.65,1734.74,1745.87,1739.10
2013년02월04일,1833.21,1741.37,1731.50,1739.90,1723.23,1744.15,1746.74,1746.10,1752.01,1741.59,1749.57,1732.19,1734.07,1732.70,1734.95,1745.87,1740.70
2013년02월05일,1836.65,1742.80,1732.39,1740.45,1723.37,1743.44,1748.36,1747.94,1752.21,1742.78,1750.71,1732.51,1734.39,1733.58,1735.70,1774.37,1740.38
2013년02월06일,1838.18,1743.86,1733.54,1742.18,1726.10,1744.41,1749.98,1748.62,1752.74,1742.87,1751.43,1733.11,1734.42,1733.92,1736.58,1775.33,1739.85
2013년02월07일,1840.40,1745.95,1734.90,1743.92,1728.31,1745.46,1751.67,1749.92,1753.64,1743.49,1751.73,1733.76,1735.47,1734.82,1736.78,1775.18,1740.01
2013년02월08일,1843.63,1748.64,1738.13,1745.34,1732.17,1746.90,1753.24,1752.26,1755.87,1745.15,1753.35,1735.09,1737.11,1737.14,1738.55,1807.98,1742.38
2013년02월09일,1846.80,1752.00,1739.85,1747.41,1736.16,1750.72,1754.08,1755.81,1757.39,1746.82,1755.36,1737.32,1738.95,1739.07,1740.87,1809.12,1747.29
2013년02월10일,1848.48,1753.37,1740.42,1748.24,1736.44,1751.94,1754.16,1757.05,1758.48,1747.67,1756.05,1737.85,1739.49,1739.68,1741.04,1809.48,1749.11
2013년02월11일,1848.99,1754.02,1741.84,1749.71,1737.76,1752.77,1754.44,1757.82,1759.25,1748.48,1756.35,1738.61,1739.90,1740.35,1741.53,1809.51,1748.00
2013년02월12일,1853.91,1756.15,1742.79,1755.41,1739.22,1754.45,1756.81,1760.90,1761.24,1749.64,1757.94,1739.69,1740.02,1741.80,1742.96,1810.12,1746.89
2013년02월13일,1857.36,1757.89,1745.26,1760.21,1740.35,1757.56,1759.05,1763.99,1763.59,1752.56,1760.40,1741.59,1741.62,1743.31,1745.94,1810.99,1752.43
2013년02월14일,1861.66,1761.86,1748.29,1764.14,1742.14,1760.32,1760.06,1768.01,1766.12,1755.91,1761.91,1743.22,1744.81,1745.79,1748.62,1810.91,1753.12
2013년02월15일,1866.61,1766.24,1752.34,1768.16,1743.68,1765.83,1761.64,1772.59,1769.25,1759.06,1764.71,1746.60,1747.03,1748.84,1752.07,1836.80,1755.87
2013년02월16일,1871.94,1770.06,1755.79,1773.02,1745.72,1770.76,1768.53,1776.42,1771.26,1762.19,1767.97,1749.71,1750.71,1752.35,1755.99,1837.91,1760.35
2013년02월17일,1872.62,1771.38,1757.75,1773.92,1746.49,1771.94,1773.61,1777.80,1772.41,1763.51,1769.39,1751.31,1751.71,1753.78,1757.31,1838.06,1759.75
2013년02월18일,1874.26,1773.23,1760.30,1777.49,1748.15,1774.44,1779.46,1780.76,1774.27,1765.89,1771.40,1754.06,1753.68,1756.40,1759.65,1838.01,1762.20
2013년02월19일,1879.61,1778.72,1763.42,1783.52,1750.36,1777.35,1782.78,1785.70,1779.08,1768.97,1774.15,1756.94,1756.28,1759.88,1762.98,1838.60,1763.61
2013년02월20일,1883.41,1783.26,1766.68,1787.51,1754.81,1783.10,1785.82,1789.49,1782.82,1771.43,1777.06,1759.55,1759.36,1763.01,1766.75,1838.19,1768.14
2013년02월21일,1886.18,1785.65,1769.35,1789.06,1762.08,1786.20,1788.26,1792.20,1786.33,1773.80,1780.10,1762.74,1763.28,1766.14,1769.88,1838.14,1771.92
2013년02월22일,1888.40,1787.22,1771.88,1791.98,1767.12,1789.13,1790.25,1794.58,1789.71,1776.02,1783.13,1767.40,1765.88,1769.01,1773.12,1838.58,1773.36
2013년02월23일,1889.30,1788.97,1774.34,1793.66,1770.38,1791.67,1791.05,1796.21,1791.92,1778.21,1785.44,1772.28,1769.42,1771.65,1775.90,1838.60,1774.67
2013년02월24일,1891.03,1789.30,1775.60,1794.27,1771.03,1792.86,1791.03,1797.22,1793.49,1779.69,1787.15,1775.99,1771.61,1772.76,1777.60,1838.86,1775.38
2013년02월25일,1890.54,1790.08,1777.75,1795.29,1773.14,1793.98,1792.15,1798.19,1795.14,1780.71,1788.36,1778.21,1773.36,1773.64,1779.24,1839.14,1776.12
2013년02월26일,1889.43,1791.98,1779.36,1797.52,1774.62,1795.81,1793.39,1799.00,1797.02,1782.29,1789.90,1781.67,1775.77,1775.62,1781.23,1839.04,1778.29
2013년02월27일,1889.08,1793.00,1780.09,1798.86,1775.31,1796.77,1793.77,1799.17,1798.21,1783.49,1790.67,1783.97,1777.47,1776.92,1782.81,1839.09,1778.58
2013년02월28일,1888.03,1794.27,1780.38,1799.03,1775.67,1797.40,1793.38,1799.23,1798.40,1783.60,1791.21,1784.77,1778.66,1777.80,1783.37,1838.97,1780.63
2013년03월01일,1887.30,1794.80,1781.08,1799.29,1776.15,1798.21,1793.50,1799.41,1799.58,1784.36,1792.24,1785.67,1778.91,1778.78,1784.59,1839.02,1780.85
2013년03월02일,1888.43,1795.14,1781.64,1799.55,1776.23,1798.23,1793.54,1800.05,1800.53,1784.97,1793.53,1787.16,1779.61,1779.85,1786.02,1838.96,1780.43
2013년03월03일,1887.53,1795.08,1781.93,1799.54,1776.43,1798.51,1793.18,1800.04,1800.28,1785.31,1794.00,1787.51,1779.87,1779.94,1786.43,1839.07,1780.40
2013년03월04일,1888.23,1795.18,1782.23,1799.23,1776.46,1799.17,1793.67,1800.24,1800.95,1786.71,1794.45,1788.30,1781.84,1780.43,1787.04,1838.58,1782.50
2013년03월05일,1885.31,1792.97,1781.83,1798.76,1776.76,1798.64,1792.95,1799.47,1800.66,1787.29,1795.03,1787.97,1781.97,1780.79,1786.64,1838.67,1783.58
2013년03월06일,1883.51,1792.96,1781.68,1798.29,1776.72,1798.68,1791.37,1798.37,1800.78,1787.19,1796.04,1787.92,1782.65,1781.24,1786.60,1838.62,1784.03
2013년03월07일,1883.19,1791.86,1781.65,1797.66,1776.19,1798.58,1790.10,1797.76,1800.66,1786.92,1796.18,1787.79,1782.89,1780.87,1786.09,1838.75,1787.50
2013년03월08일,1881.78,1791.05,1781.10,1797.02,1775.94,1798.32,1788.30,1797.08,1800.72,1786.82,1796.08,1787.62,1783.34,1780.39,1785.87,1823.12,1787.69
2013년03월09일,1880.63,1790.09,1779.85,1796.37,1775.37,1796.86,1787.82,1796.51,1800.35,1786.97,1796.18,1787.04,1782.64,1780.13,1785.55,1820.13,1789.50
2013년03월10일,1880.48,1789.51,1779.41,1795.90,1775.36,1797.49,1787.16,1796.11,1800.12,1786.91,1796.26,1786.55,1782.84,1780.03,1785.52,1819.49,1789.14
