"2020","05","1,757,025.0","1,155,657.0","0","0"
"2020","06","5,097,899.0","2,922,676.0","0","0"
"2020","07","891,026.7","564,644.0","0","0"
"2020","08","113,363.2","111,356.0","500.0","2,230.0"
"2020","09","11,376.0","33,611.0","231,980.0","105,176.0"
"2020","10","1,848,628.0","1,317,272.0","303,057.7","135,287.0"
"2020","11","6,474,714.6","4,608,405.0","1,610.0","4,690.0"
"2020","12","3,656,465.0","2,555,732.0","105,600.0","66,003.0"
"2021","합","24,621,482.7","16,936,629.0","66,706.0","45,381.0"
"2021","01","4,203,195.0","2,768,083.0","0","0"
"2021","02","676,744.5","435,129.0","15,750.0","16,011.0"
"2021","03","415,278.2","334,840.0","7,350.0","4,275.0"
"2021","04","408,496.6","315,061.0","12,978.0","4,175.0"
"2021","05","2,046,848.4","1,316,759.0","0","0"
"2021","06","4,191,417.6","2,554,747.0","7,350.0","3,208.0"
"2021","07","2,679,104.0","1,901,149.0","6,028.0","3,441.0"
"2021","08","1,427,217.6","1,029,678.0","0","0"
"2021","09","943,633.5","737,362.0","1,080.0","487.0"
"2021","10","3,093,771.2","2,054,209.0","0","0"
"2021","11","1,879,575.0","1,327,072.0","0","0"
"2021","12","2,656,201.0","2,162,540.0","16,170.0","13,784.0"
