,날짜,지역,품명,가격
0,2013-01-02,서울,가을,13000.0
1,2013-01-02,부산,가을,12000.0
2,2013-01-02,대구,가을,12000.0
3,2013-01-02,광주,가을,12000.0
4,2013-01-02,대전,가을,13000.0
5,2013-01-03,서울,가을,12000.0
6,2013-01-03,부산,가을,12000.0
7,2013-01-03,대구,가을,13000.0
8,2013-01-03,광주,가을,13000.0
9,2013-01-03,대전,가을,15000.0
10,2013-01-04,서울,가을,12000.0
11,2013-01-04,부산,가을,12000.0
12,2013-01-04,대구,가을,12000.0
13,2013-01-04,광주,가을,13000.0
14,2013-01-04,대전,가을,13000.0
15,2013-10-29,서울,가을,4000.0
16,2013-10-29,부산,가을,4500.0
17,2013-10-29,대구,가을,4000.0
18,2013-10-29,광주,가을,4000.0
19,2013-10-29,대전,가을,4500.0
20,2013-10-30,서울,가을,4000.0
21,2013-10-30,부산,가을,4500.0
22,2013-10-30,대구,가을,4000.0
23,2013-10-30,광주,가을,4000.0
24,2013-10-30,대전,가을,4500.0
25,2013-10-31,서울,가을,4000.0
26,2013-10-31,부산,가을,4500.0
27,2013-10-31,대구,가을,4000.0
28,2013-10-31,광주,가을,4000.0
29,2013-10-31,대전,가을,4500.0
30,2013-11-01,서울,가을,4000.0
31,2013-11-01,부산,가을,4500.0
32,2013-11-01,대구,가을,4000.0
33,2013-11-01,광주,가을,4000.0
34,2013-11-01,대전,가을,4000.0
35,2013-11-04,서울,가을,4000.0
36,2013-11-04,부산,가을,4500.0
37,2013-11-04,대구,가을,4000.0
38,2013-11-04,광주,가을,4000.0
39,2013-11-04,대전,가을,4000.0
40,2013-11-05,서울,가을,4000.0
41,2013-11-05,부산,가을,4500.0
42,2013-11-05,대구,가을,4000.0
43,2013-11-05,광주,가을,4000.0
44,2013-11-05,대전,가을,4000.0
45,2013-11-06,서울,가을,4000.0
46,2013-11-06,부산,가을,4500.0
47,2013-11-06,대구,가을,4000.0
48,2013-11-06,광주,가을,4000.0
49,2013-11-06,대전,가을,4000.0
50,2013-11-07,서울,가을,4000.0
51,2013-11-07,부산,가을,4500.0
52,2013-11-07,대구,가을,4000.0
53,2013-11-07,광주,가을,4000.0
54,2013-11-07,대전,가을,4000.0
55,2013-11-08,서울,가을,6000.0
56,2013-11-08,부산,가을,4500.0
57,2013-11-08,대구,가을,4000.0
58,2013-11-08,광주,가을,4000.0
59,2013-11-08,대전,가을,4000.0
60,2013-11-11,서울,가을,5000.0
61,2013-11-11,부산,가을,5000.0
62,2013-11-11,대구,가을,5000.0
63,2013-11-11,광주,가을,5000.0
64,2013-11-11,대전,가을,6000.0
65,2013-11-12,서울,가을,5000.0
66,2013-11-12,부산,가을,5000.0
67,2013-11-12,대구,가을,5000.0
68,2013-11-12,광주,가을,5000.0
69,2013-11-12,대전,가을,6000.0
70,2013-11-13,서울,가을,5000.0
71,2013-11-13,부산,가을,5000.0
72,2013-11-13,대구,가을,5000.0
73,2013-11-13,광주,가을,5000.0
74,2013-11-13,대전,가을,6000.0
75,2013-11-14,서울,가을,6000.0
76,2013-11-14,부산,가을,5000.0
77,2013-11-14,대구,가을,5000.0
78,2013-11-14,광주,가을,5000.0
79,2013-11-14,대전,가을,6000.0
80,2013-11-15,서울,가을,7000.0
81,2013-11-15,부산,가을,5000.0
82,2013-11-15,대구,가을,5000.0
83,2013-11-15,광주,가을,5000.0
84,2013-11-15,대전,가을,6000.0
85,2013-11-18,서울,가을,6500.0
86,2013-11-18,부산,가을,5500.0
87,2013-11-18,대구,가을,6000.0
88,2013-11-18,광주,가을,6000.0
89,2013-11-18,대전,가을,6000.0
90,2013-11-19,서울,가을,6500.0
91,2013-11-19,부산,가을,5500.0
92,2013-11-19,대구,가을,6000.0
93,2013-11-19,광주,가을,6000.0
94,2013-11-19,대전,가을,6000.0
95,2013-11-20,서울,가을,7500.0
96,2013-11-20,부산,가을,6000.0
97,2013-11-20,대구,가을,6000.0
98,2013-11-20,광주,가을,6000.0
99,2013-11-20,대전,가을,6000.0
100,2013-11-21,서울,가을,8000.0
101,2013-11-21,부산,가을,6000.0
102,2013-11-21,대구,가을,6000.0
103,2013-11-21,광주,가을,6000.0
104,2013-11-21,대전,가을,6000.0
105,2013-11-22,서울,가을,8500.0
106,2013-11-22,부산,가을,6500.0
107,2013-11-22,대구,가을,6000.0
108,2013-11-22,광주,가을,6000.0
109,2013-11-22,대전,가을,6000.0
110,2013-11-25,서울,가을,7500.0
111,2013-11-25,부산,가을,6500.0
112,2013-11-25,대구,가을,6500.0
113,2013-11-25,광주,가을,6000.0
114,2013-11-25,대전,가을,6000.0
115,2013-11-26,서울,가을,7000.0
116,2013-11-26,부산,가을,6500.0
117,2013-11-26,대구,가을,6500.0
118,2013-11-26,광주,가을,6000.0
119,2013-11-26,대전,가을,6000.0
120,2013-11-27,서울,가을,7500.0
121,2013-11-27,부산,가을,6500.0
122,2013-11-27,대구,가을,6500.0
123,2013-11-27,광주,가을,6000.0
124,2013-11-27,대전,가을,6000.0
125,2013-11-28,서울,가을,8000.0
126,2013-11-28,부산,가을,7000.0
127,2013-11-28,대구,가을,7000.0
128,2013-11-28,광주,가을,6000.0
129,2013-11-28,대전,가을,7000.0
130,2013-11-29,서울,가을,8500.0
131,2013-11-29,부산,가을,7000.0
132,2013-11-29,대구,가을,7000.0
133,2013-11-29,광주,가을,6000.0
134,2013-11-29,대전,가을,7000.0
135,2013-12-02,서울,가을,7500.0
136,2013-12-02,부산,가을,7000.0
137,2013-12-02,대구,가을,7000.0
138,2013-12-02,광주,가을,6000.0
139,2013-12-02,대전,가을,7000.0
140,2013-12-03,서울,가을,7000.0
141,2013-12-03,부산,가을,6500.0
142,2013-12-03,대구,가을,6500.0
143,2013-12-03,광주,가을,5000.0
144,2013-12-03,대전,가을,7000.0
145,2013-12-04,서울,가을,6000.0
146,2013-12-04,부산,가을,6000.0
147,2013-12-04,대구,가을,6500.0
148,2013-12-04,광주,가을,5000.0
149,2013-12-04,대전,가을,7000.0
150,2013-12-05,서울,가을,6000.0
151,2013-12-05,부산,가을,6000.0
152,2013-12-05,대구,가을,6500.0
153,2013-12-05,광주,가을,5000.0
154,2013-12-05,대전,가을,7000.0
155,2013-12-06,서울,가을,7000.0
156,2013-12-06,부산,가을,6000.0
157,2013-12-06,대구,가을,6000.0
158,2013-12-06,광주,가을,5000.0
159,2013-12-06,대전,가을,6000.0
160,2013-12-09,서울,가을,6000.0
161,2013-12-09,부산,가을,6000.0
162,2013-12-09,대구,가을,6000.0
163,2013-12-09,광주,가을,4000.0
164,2013-12-09,대전,가을,6000.0
165,2013-12-10,서울,가을,5500.0
166,2013-12-10,부산,가을,5500.0
167,2013-12-10,대구,가을,5500.0
168,2013-12-10,광주,가을,4000.0
169,2013-12-10,대전,가을,5000.0
170,2013-12-11,서울,가을,5500.0
171,2013-12-11,부산,가을,5500.0
172,2013-12-11,대구,가을,5000.0
173,2013-12-11,광주,가을,4000.0
174,2013-12-11,대전,가을,5000.0
175,2013-12-12,서울,가을,5500.0
176,2013-12-12,부산,가을,5500.0
177,2013-12-12,대구,가을,5000.0
178,2013-12-12,광주,가을,4000.0
179,2013-12-12,대전,가을,4500.0
180,2013-12-13,서울,가을,4500.0
181,2013-12-13,부산,가을,5000.0
182,2013-12-13,대구,가을,5000.0
183,2013-12-13,광주,가을,4000.0
184,2013-12-13,대전,가을,4500.0
185,2013-12-16,서울,가을,4500.0
186,2013-12-16,부산,가을,5000.0
187,2013-12-16,대구,가을,5000.0
188,2013-12-16,광주,가을,4000.0
189,2013-12-16,대전,가을,4500.0
190,2013-12-17,서울,가을,4500.0
191,2013-12-17,부산,가을,4500.0
192,2013-12-17,대구,가을,4500.0
193,2013-12-17,광주,가을,4000.0
194,2013-12-17,대전,가을,4500.0
195,2013-12-18,서울,가을,4500.0
196,2013-12-18,부산,가을,4500.0
197,2013-12-18,대구,가을,4500.0
