,날짜,지역,품명,가격
0,2013-04-19,서울,봄,8500.0
1,2013-04-19,부산,봄,9000.0
2,2013-04-19,대구,봄,9000.0
3,2013-04-19,광주,봄,9000.0
4,2013-04-19,대전,봄,9500.0
5,2013-04-22,서울,봄,9000.0
6,2013-04-22,부산,봄,9000.0
7,2013-04-22,대구,봄,9000.0
8,2013-04-22,광주,봄,9000.0
9,2013-04-22,대전,봄,9500.0
10,2013-04-23,서울,봄,9000.0
11,2013-04-23,부산,봄,9000.0
12,2013-04-23,대구,봄,9000.0
13,2013-04-23,광주,봄,9000.0
14,2013-04-23,대전,봄,9500.0
15,2013-04-24,서울,봄,8500.0
16,2013-04-24,부산,봄,9000.0
17,2013-04-24,대구,봄,9000.0
18,2013-04-24,광주,봄,9000.0
19,2013-04-24,대전,봄,9500.0
20,2013-04-25,서울,봄,8500.0
21,2013-04-25,부산,봄,9000.0
22,2013-04-25,대구,봄,9000.0
23,2013-04-25,광주,봄,9000.0
24,2013-04-25,대전,봄,8500.0
25,2013-04-26,서울,봄,8000.0
26,2013-04-26,부산,봄,9000.0
27,2013-04-26,대구,봄,9000.0
28,2013-04-26,광주,봄,9000.0
29,2013-04-26,대전,봄,8500.0
30,2013-04-29,서울,봄,8000.0
31,2013-04-29,부산,봄,9000.0
32,2013-04-29,대구,봄,9000.0
33,2013-04-29,광주,봄,9000.0
34,2013-04-29,대전,봄,8500.0
35,2013-04-30,서울,봄,8000.0
36,2013-04-30,부산,봄,9000.0
37,2013-04-30,대구,봄,9000.0
38,2013-04-30,광주,봄,8000.0
39,2013-04-30,대전,봄,8500.0
40,2013-05-02,서울,봄,7000.0
41,2013-05-02,부산,봄,8500.0
42,2013-05-02,대구,봄,8500.0
43,2013-05-02,광주,봄,8000.0
44,2013-05-02,대전,봄,8500.0
45,2013-05-03,서울,봄,7000.0
46,2013-05-03,부산,봄,8500.0
47,2013-05-03,대구,봄,8500.0
48,2013-05-03,광주,봄,8000.0
49,2013-05-03,대전,봄,8500.0
50,2013-05-06,서울,봄,6500.0
51,2013-05-06,부산,봄,8000.0
52,2013-05-06,대구,봄,8500.0
53,2013-05-06,광주,봄,8000.0
54,2013-05-06,대전,봄,8000.0
55,2013-05-07,서울,봄,7000.0
56,2013-05-07,부산,봄,8000.0
57,2013-05-07,대구,봄,8000.0
58,2013-05-07,광주,봄,8000.0
59,2013-05-07,대전,봄,8000.0
60,2013-05-08,서울,봄,6500.0
61,2013-05-08,부산,봄,7500.0
62,2013-05-08,대구,봄,7500.0
63,2013-05-08,광주,봄,8000.0
64,2013-05-08,대전,봄,8000.0
65,2013-05-09,서울,봄,6500.0
66,2013-05-09,부산,봄,7500.0
67,2013-05-09,대구,봄,7500.0
68,2013-05-09,광주,봄,7000.0
69,2013-05-09,대전,봄,8000.0
70,2013-05-10,서울,봄,7500.0
71,2013-05-10,부산,봄,7500.0
72,2013-05-10,대구,봄,7500.0
73,2013-05-10,광주,봄,7000.0
74,2013-05-10,대전,봄,8000.0
75,2013-05-13,서울,봄,8000.0
76,2013-05-13,부산,봄,8000.0
77,2013-05-13,대구,봄,8000.0
78,2013-05-13,광주,봄,8000.0
79,2013-05-13,대전,봄,8000.0
80,2013-05-14,서울,봄,8000.0
81,2013-05-14,부산,봄,8000.0
82,2013-05-14,대구,봄,8000.0
83,2013-05-14,광주,봄,9000.0
84,2013-05-14,대전,봄,8000.0
85,2013-05-15,서울,봄,7500.0
86,2013-05-15,부산,봄,8000.0
87,2013-05-15,대구,봄,8000.0
88,2013-05-15,광주,봄,8000.0
89,2013-05-15,대전,봄,8000.0
90,2013-05-16,서울,봄,7500.0
91,2013-05-16,부산,봄,7500.0
92,2013-05-16,대구,봄,7500.0
93,2013-05-16,광주,봄,7000.0
94,2013-05-16,대전,봄,8000.0
95,2013-05-20,서울,봄,7500.0
96,2013-05-20,부산,봄,7500.0
97,2013-05-20,대구,봄,7500.0
98,2013-05-20,광주,봄,7000.0
99,2013-05-20,대전,봄,8000.0
100,2013-05-21,서울,봄,7500.0
101,2013-05-21,부산,봄,7000.0
102,2013-05-21,대구,봄,7000.0
103,2013-05-21,광주,봄,7000.0
104,2013-05-21,대전,봄,8000.0
105,2013-05-22,서울,봄,5500.0
106,2013-05-22,부산,봄,6000.0
107,2013-05-22,대구,봄,6000.0
108,2013-05-22,광주,봄,6000.0
109,2013-05-22,대전,봄,6000.0
110,2013-05-23,서울,봄,5500.0
111,2013-05-23,부산,봄,6000.0
112,2013-05-23,대구,봄,6000.0
113,2013-05-23,광주,봄,6000.0
114,2013-05-23,대전,봄,6000.0
115,2013-05-24,서울,봄,5000.0
116,2013-05-24,부산,봄,5500.0
117,2013-05-24,대구,봄,5500.0
118,2013-05-24,광주,봄,5000.0
119,2013-05-24,대전,봄,5000.0
120,2013-05-27,서울,봄,5500.0
121,2013-05-27,부산,봄,5500.0
122,2013-05-27,대구,봄,5500.0
123,2013-05-27,광주,봄,5000.0
124,2013-05-27,대전,봄,5000.0
125,2013-05-28,서울,봄,6000.0
126,2013-05-28,부산,봄,5500.0
