,날짜,지역,일반유가
0,2013-01-10,충남,1758.34
0,2013-01-10,전북,1740.21
0,2013-01-10,전남,1739.67
0,2013-01-10,경북,1739.25
0,2013-01-10,경남,1739.97
0,2013-01-10,제주,1780.93
0,2013-01-10,세종,1746.94
0,2013-01-11,서울,1839.13
0,2013-01-11,부산,1750.06
0,2013-01-11,대구,1734.34
0,2013-01-11,인천,1744.15
0,2013-01-11,광주,1724.67
0,2013-01-11,대전,1747.35
0,2013-01-11,울산,1744.58
0,2013-01-11,경기,1752.7
0,2013-01-11,강원,1758.29
0,2013-01-11,충북,1747.38
0,2013-01-11,충남,1758.09
0,2013-01-11,전북,1739.5
0,2013-01-11,전남,1739.71
0,2013-01-11,경북,1738.92
0,2013-01-11,경남,1739.76
0,2013-01-11,제주,1780.78
0,2013-01-11,세종,1747.21
0,2013-01-12,서울,1839.93
0,2013-01-12,부산,1749.26
0,2013-01-12,대구,1734.48
0,2013-01-12,인천,1744.83
0,2013-01-12,광주,1724.77
0,2013-01-12,대전,1747.6
0,2013-01-12,울산,1743.0
0,2013-01-12,경기,1752.46
0,2013-01-12,강원,1758.06
0,2013-01-12,충북,1747.0
0,2013-01-12,충남,1757.49
0,2013-01-12,전북,1739.33
0,2013-01-12,전남,1739.38
0,2013-01-12,경북,1738.78
0,2013-01-12,경남,1739.41
0,2013-01-12,제주,1780.88
0,2013-01-12,세종,1745.3
0,2013-01-13,서울,1839.01
0,2013-01-13,부산,1748.99
0,2013-01-13,대구,1734.0
0,2013-01-13,인천,1744.58
0,2013-01-13,광주,1725.1
0,2013-01-13,대전,1747.14
0,2013-01-13,울산,1743.34
0,2013-01-13,경기,1752.05
0,2013-01-13,강원,1757.85
0,2013-01-13,충북,1746.98
0,2013-01-13,충남,1757.39
0,2013-01-13,전북,1738.6
0,2013-01-13,전남,1739.14
0,2013-01-13,경북,1738.43
0,2013-01-13,경남,1738.87
0,2013-01-13,제주,1780.41
0,2013-01-13,세종,1746.25
0,2013-01-14,서울,1839.8
0,2013-01-14,부산,1748.94
0,2013-01-14,대구,1734.29
0,2013-01-14,인천,1744.85
0,2013-01-14,광주,1725.01
0,2013-01-14,대전,1747.07
0,2013-01-14,울산,1742.85
0,2013-01-14,경기,1752.01
0,2013-01-14,강원,1757.8
0,2013-01-14,충북,1746.61
0,2013-01-14,충남,1757.12
0,2013-01-14,전북,1738.66
0,2013-01-14,전남,1739.11
0,2013-01-14,경북,1738.5
0,2013-01-14,경남,1739.16
0,2013-01-14,제주,1780.6
0,2013-01-14,세종,1746.25
0,2013-01-15,서울,1839.46
