발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2015-01-26,속초,90,-1.16,-1.31,14.80,-1.85
2015-01-26,대관령,100,-0.15,-0.93,35.90,-1.27
2015-01-26,춘천,101,0.10,-0.65,74.90,-2.17
2015-01-26,강릉,105,-0.51,-0.63,33.70,-0.78
2015-01-26,서울,108,-0.48,-0.41,51.00,-1.87
2015-01-26,인천,112,-0.35,-0.05,48.60,-1.73
2015-01-26,원주,114,0.18,-0.47,85.00,-1.92
2015-01-26,수원,119,0.08,0.02,77.90,-0.77
2015-01-26,충주,127,0.04,0.22,74.80,-0.74
2015-01-26,서산,129,-0.10,0.80,71.80,-0.57
2015-01-26,울진,130,-0.53,-0.15,37.80,0.15
2015-01-26,청주,131,0.01,0.61,70.00,-0.81
2015-01-26,대전,133,0.57,1.14,110.60,-0.13
2015-01-26,추풍령,135,0.83,1.70,141.70,0.80
2015-01-26,포항,138,-0.24,-0.04,46.60,0.24
2015-01-26,군산,140,0.81,1.75,128.90,0.66
2015-01-26,대구,143,0.66,0.56,113.70,0.55
2015-01-26,전주,146,0.59,1.25,109.20,0.43
2015-01-26,울산,152,0.03,-0.17,67.80,0.40
2015-01-26,광주,156,0.66,1.49,115.40,0.62
2015-01-26,부산,159,0.64,0.30,125.70,0.96
2015-01-26,통영,162,1.24,1.02,201.10,1.86
2015-01-26,목포,165,0.41,1.91,98.40,0.91
2015-01-26,여수,168,0.91,0.82,148.40,1.18
2015-01-26,완도,170,0.41,1.53,96.00,1.48
2015-01-26,제주,184,0.42,0.73,102.10,0.34
2015-01-26,성산,188,0.70,0.63,127.40,1.02
2015-01-26,서귀포,189,0.76,0.77,129.30,1.61
2015-01-26,진주,192,0.41,0.80,89.60,1.01
2015-01-26,강화,201,0.34,-0.51,81.00,-2.33
2015-01-26,양평,202,-0.29,-0.57,55.70,-1.87
2015-01-26,이천,203,0.25,-0.11,89.40,-1.68
2015-01-26,인제,211,-0.25,-1.27,53.40,-1.66
2015-01-26,홍천,212,-0.60,-1.31,31.80,-2.03
2015-01-26,제천,221,-0.13,-0.14,61.90,-1.29
2015-01-26,보은,226,0.43,0.94,88.50,0.03
2015-01-26,천안,232,-0.19,0.19,59.20,-0.48
2015-01-26,보령,235,0.46,0.99,102.00,-0.10
2015-01-26,부여,236,0.71,1.52,124.30,0.25
2015-01-26,금산,238,0.73,1.46,121.30,0.44
2015-01-26,부안,243,0.59,1.76,112.40,0.79
2015-01-26,임실,244,0.14,0.74,76.20,0.46
2015-01-26,정읍,245,0.36,1.11,98.90,0.70
2015-01-26,남원,247,0.56,1.22,102.50,0.34
2015-01-26,장흥,260,-0.01,0.87,69.30,0.56
2015-01-26,해남,261,-0.09,1.66,69.40,0.30
2015-01-26,고흥,262,0.47,0.93,100.10,1.42
2015-01-26,영주,272,-0.11,0.64,47.20,0.31
2015-01-26,문경,273,-0.08,0.69,45.30,-0.39
2015-01-26,영덕,277,-0.92,-0.05,11.60,0.30
2015-01-26,의성,278,0.59,0.90,102.60,0.11
2015-01-26,구미,279,0.57,1.20,97.90,1.11
2015-01-26,영천,281,0.20,0.30,72.70,0.96
2015-01-26,거창,284,0.38,0.94,81.80,0.29
2015-01-26,합천,285,0.38,0.80,82.50,0.51
2015-01-26,밀양,288,0.38,0.23,91.90,0.35
2015-01-26,산청,289,0.33,0.68,76.30,0.34
2015-01-26,거제,294,0.59,0.65,112.40,1.20
2015-01-26,남해,295,0.74,0.95,126.20,1.22
