발표일자,지점명,지점코드,spi1,spi3,edi
2015-11-16,속초,90,1.95,-0.41,0.60
2015-11-16,대관령,100,0.77,-0.18,-1.59
2015-11-16,춘천,101,1.72,-0.93,-1.96
2015-11-16,강릉,105,1.34,-0.16,-0.52
2015-11-16,서울,108,1.45,-0.66,-2.25
2015-11-16,인천,112,1.52,-0.62,-2.37
2015-11-16,원주,114,1.36,-0.89,-1.47
2015-11-16,수원,119,1.26,-1.05,-2.21
2015-11-16,충주,127,1.20,-1.09,-1.66
2015-11-16,서산,129,1.76,-0.74,-1.36
2015-11-16,울진,130,1.02,-0.74,-0.63
2015-11-16,청주,131,1.30,-0.87,-1.81
2015-11-16,대전,133,1.29,-0.73,-1.43
2015-11-16,추풍령,135,1.70,-0.29,-0.92
2015-11-16,포항,138,1.23,-0.07,-0.33
2015-11-16,군산,140,1.48,-0.20,-0.89
2015-11-16,대구,143,1.17,-0.19,-0.31
2015-11-16,전주,146,1.26,-0.72,-1.51
2015-11-16,울산,152,0.92,0.13,-0.41
2015-11-16,광주,156,1.28,-0.38,-0.64
2015-11-16,부산,159,1.13,0.49,0.02
2015-11-16,통영,162,0.94,0.45,0.11
2015-11-16,목포,165,1.07,-0.11,-0.30
2015-11-16,여수,168,0.63,-0.16,-0.59
2015-11-16,완도,170,0.48,0.12,-0.08
2015-11-16,제주,184,0.48,-0.37,0.24
2015-11-16,성산,188,0.52,0.14,0.82
2015-11-16,서귀포,189,1.39,0.80,1.64
2015-11-16,진주,192,1.19,0.00,-0.32
2015-11-16,강화,201,1.42,-0.54,-2.65
2015-11-16,양평,202,1.51,-0.74,-2.27
2015-11-16,이천,203,1.75,-0.92,-1.67
2015-11-16,인제,211,1.53,-0.57,-1.76
2015-11-16,홍천,212,1.57,-0.54,-2.30
2015-11-16,제천,221,1.33,-0.93,-1.69
2015-11-16,보은,226,1.06,-0.54,-1.29
2015-11-16,천안,232,1.37,-0.75,-1.65
2015-11-16,보령,235,1.63,-0.74,-1.55
2015-11-16,부여,236,1.17,-0.66,-1.38
2015-11-16,금산,238,1.33,-0.50,-1.09
2015-11-16,부안,243,1.83,-0.33,-0.83
2015-11-16,임실,244,0.78,-0.54,-1.36
2015-11-16,정읍,245,1.22,-0.74,-0.94
2015-11-16,남원,247,0.80,-0.42,-1.16
2015-11-16,장흥,260,0.11,-0.32,-0.88
2015-11-16,해남,261,0.59,-0.04,-0.51
2015-11-16,고흥,262,0.35,-0.17,-0.38
2015-11-16,영주,272,1.07,-0.87,-1.42
2015-11-16,문경,273,1.41,-0.62,-1.34
2015-11-16,영덕,277,1.27,-0.20,-0.52
2015-11-16,의성,278,1.21,-0.76,-1.32
2015-11-16,구미,279,1.25,-0.34,-0.78
2015-11-16,영천,281,1.21,-0.19,-0.48
2015-11-16,거창,284,1.32,-0.33,-0.55
2015-11-16,합천,285,1.26,-0.20,-0.44
2015-11-16,밀양,288,1.11,0.03,-0.55
2015-11-16,산청,289,1.24,-0.24,-0.25
2015-11-16,거제,294,1.29,0.57,0.16
2015-11-16,남해,295,1.27,0.00,-0.10
