발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2015-12-14,속초,90,2.18,1.58,427.60,0.86
2015-12-14,대관령,100,1.05,-0.17,180.00,-1.54
2015-12-14,춘천,101,1.51,1.02,240.20,-2.14
2015-12-14,강릉,105,1.53,0.59,276.20,-0.08
2015-12-14,서울,108,1.04,0.68,163.00,-2.32
2015-12-14,인천,112,1.35,0.79,196.10,-2.35
2015-12-14,원주,114,1.50,0.49,204.10,-1.48
2015-12-14,수원,119,1.70,0.79,245.20,-1.91
2015-12-14,충주,127,1.44,0.36,204.60,-1.58
2015-12-14,서산,129,1.77,0.98,233.30,-1.12
2015-12-14,울진,130,1.85,0.58,323.90,0.05
2015-12-14,청주,131,1.24,0.68,191.70,-1.71
2015-12-14,대전,133,1.25,0.73,189.70,-1.36
2015-12-14,추풍령,135,1.19,0.90,202.40,-0.83
2015-12-14,포항,138,1.13,0.52,218.20,-0.06
2015-12-14,군산,140,1.52,0.94,204.40,-0.68
2015-12-14,대구,143,0.81,0.30,175.30,-0.11
2015-12-14,전주,146,1.28,0.71,186.40,-1.35
2015-12-14,울산,152,1.06,0.65,204.20,-0.09
2015-12-14,광주,156,1.38,0.99,209.70,-0.38
2015-12-14,부산,159,0.79,1.31,155.20,0.12
2015-12-14,통영,162,0.71,1.16,151.50,0.23
2015-12-14,목포,165,1.25,0.87,215.20,0.07
2015-12-14,여수,168,0.53,0.48,130.00,-0.49
2015-12-14,완도,170,1.01,0.63,195.90,0.28
2015-12-14,제주,184,1.71,0.87,289.30,1.08
2015-12-14,성산,188,1.66,1.72,312.10,1.76
2015-12-14,서귀포,189,1.05,1.76,188.90,1.76
2015-12-14,진주,192,1.06,0.68,211.90,-0.15
2015-12-14,강화,201,1.14,0.72,175.20,-2.75
2015-12-14,양평,202,1.57,0.76,250.80,-2.26
2015-12-14,이천,203,1.87,0.87,281.20,-1.57
2015-12-14,인제,211,1.33,0.80,205.60,-1.88
2015-12-14,홍천,212,1.17,0.52,177.80,-2.45
2015-12-14,제천,221,1.26,0.50,193.20,-1.74
2015-12-14,보은,226,1.38,0.74,211.80,-1.12
2015-12-14,천안,232,1.60,0.63,217.10,-1.47
2015-12-14,보령,235,1.71,1.03,224.10,-1.37
2015-12-14,부여,236,1.38,0.81,201.10,-1.22
2015-12-14,금산,238,1.02,0.71,159.40,-1.08
2015-12-14,부안,243,1.27,0.75,189.70,-0.63
2015-12-14,임실,244,1.43,0.97,225.70,-1.01
2015-12-14,정읍,245,1.30,0.87,184.40,-0.65
2015-12-14,남원,247,1.43,0.80,221.80,-0.90
2015-12-14,장흥,260,1.10,0.54,191.00,-0.62
2015-12-14,해남,261,0.97,0.49,178.50,-0.22
2015-12-14,고흥,262,0.35,0.21,101.50,-0.39
2015-12-14,영주,272,1.15,0.44,204.10,-1.34
2015-12-14,문경,273,1.49,0.81,260.80,-1.23
2015-12-14,영덕,277,2.05,1.04,380.20,0.22
2015-12-14,의성,278,0.93,0.37,188.40,-1.28
2015-12-14,구미,279,1.16,0.41,219.90,-0.58
2015-12-14,영천,281,0.89,0.58,180.60,-0.33
2015-12-14,거창,284,1.26,0.69,232.00,-0.35
2015-12-14,합천,285,0.97,0.46,203.90,-0.31
2015-12-14,밀양,288,0.67,0.53,143.60,-0.48
2015-12-14,산청,289,0.94,0.42,186.20,-0.16
2015-12-14,거제,294,0.96,1.26,190.90,0.32
2015-12-14,남해,295,0.80,0.74,171.90,0.02
