발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2020-06-06,속초,90,1.72,1.10,236.54,1.46
2020-06-06,철원,95,0.88,-0.11,143.18,-0.08
2020-06-06,대관령,100,0.13,-0.45,82.66,-1.02
2020-06-06,춘천,101,0.46,-0.76,111.29,-0.68
2020-06-06,강릉,105,0.41,-0.08,101.10,0.41
2020-06-06,서울,108,0.37,-0.73,107.33,-1.59
2020-06-06,인천,112,0.39,-0.81,106.35,-0.70
2020-06-06,원주,114,0.03,-1.26,86.23,-1.72
2020-06-06,수원,119,0.23,-0.82,98.74,-0.77
2020-06-06,충주,127,0.45,-0.46,118.76,-0.30
2020-06-06,서산,129,0.20,-0.75,94.01,-0.71
2020-06-06,울진,130,-0.01,-0.58,81.89,0.84
2020-06-06,청주,131,-0.22,-1.31,72.75,-1.55
2020-06-06,대전,133,-0.23,-1.35,76.39,-1.07
2020-06-06,추풍령,135,-0.25,-1.11,74.71,-0.36
2020-06-06,안동,136,-0.19,-1.53,78.37,-0.95
2020-06-06,포항,138,-0.76,-1.65,47.02,0.06
2020-06-06,군산,140,0.06,-0.96,91.63,-0.59
2020-06-06,대구,143,-1.20,-1.71,38.76,-0.87
2020-06-06,전주,146,-0.64,-1.31,61.37,-1.41
2020-06-06,울산,152,-1.01,-1.21,41.64,-0.21
2020-06-06,창원,155,-0.91,-1.67,45.58,-1.17
2020-06-06,광주,156,-0.28,-0.54,72.56,-0.75
2020-06-06,부산,159,-0.75,-1.00,49.76,-0.59
2020-06-06,통영,162,-0.55,-0.91,60.26,-0.53
2020-06-06,목포,165,0.10,0.02,93.74,0.19
2020-06-06,여수,168,-0.29,-0.54,76.17,-0.46
2020-06-06,완도,170,0.75,0.26,146.25,0.72
2020-06-06,제주,184,-1.75,-0.73,19.31,-0.23
2020-06-06,고산,185,-0.25,-1.05,83.53,-0.11
2020-06-06,성산,188,0.76,0.07,146.58,0.90
2020-06-06,서귀포,189,0.23,-0.33,114.71,0.08
2020-06-06,진주,192,-0.67,-0.97,61.77,-0.72
2020-06-06,강화,201,0.52,-0.67,117.27,-0.38
2020-06-06,양평,202,0.31,-0.85,103.73,-0.69
2020-06-06,이천,203,0.45,-0.53,116.42,-0.29
2020-06-06,인제,211,0.83,-0.04,136.09,-0.06
2020-06-06,홍천,212,0.28,-0.89,97.79,-1.54
2020-06-06,태백,216,0.44,-0.64,111.58,-0.48
2020-06-06,제천,221,0.51,-0.64,115.65,-0.78
2020-06-06,보은,226,0.03,-0.80,90.08,-0.33
2020-06-06,천안,232,0.18,-0.92,95.58,-0.80
2020-06-06,보령,235,0.18,-0.88,101.92,-0.67
2020-06-06,부여,236,0.23,-1.01,100.91,-0.49
2020-06-06,금산,238,-0.09,-1.16,80.00,-0.65
2020-06-06,부안,243,-0.01,-0.78,89.41,-0.49
2020-06-06,임실,244,-0.54,-0.93,66.29,-0.89
2020-06-06,정읍,245,-0.65,-0.84,57.17,-0.57
2020-06-06,남원,247,-0.81,-0.82,50.59,-0.62
2020-06-06,장수,248,-0.56,-0.99,64.05,-0.87
2020-06-06,장흥,260,0.14,-0.46,98.73,-0.29
2020-06-06,해남,261,0.46,-0.03,119.28,0.21
2020-06-06,고흥,262,-0.07,-0.59,89.06,-0.35
2020-06-06,봉화,271,0.41,-0.78,114.77,-0.65
2020-06-06,영주,272,0.60,-0.55,126.63,-0.27
2020-06-06,문경,273,0.48,-0.66,117.03,-0.21
2020-06-06,영덕,277,-0.18,-1.27,73.69,0.26
2020-06-06,의성,278,-0.48,-1.22,66.02,-0.78
2020-06-06,구미,279,-0.18,-1.01,76.83,-0.16
2020-06-06,영천,281,-0.88,-1.61,48.48,-0.68
2020-06-06,거창,284,-0.58,-1.06,60.71,-0.59
2020-06-06,합천,285,-0.73,-0.97,59.73,-0.36
2020-06-06,밀양,288,-1.28,-1.63,36.69,-1.02
2020-06-06,산청,289,-1.17,-1.26,41.75,-0.60
2020-06-06,거제,294,-0.74,-1.06,48.12,-0.59
2020-06-06,남해,295,-0.43,-0.64,68.53,-0.34
