발표일자,지점명,지점코드,spi1,spi3,edi
2016-03-08,속초,90,0.21,-0.91,-0.08
2016-03-08,대관령,100,0.06,-0.81,-1.66
2016-03-08,춘천,101,1.86,1.14,-0.09
2016-03-08,강릉,105,-0.05,-0.45,-0.73
2016-03-08,서울,108,1.52,0.79,-2.24
2016-03-08,인천,112,1.67,0.97,-0.25
2016-03-08,원주,114,1.44,0.63,-0.30
2016-03-08,수원,119,1.76,1.31,0.30
2016-03-08,충주,127,0.92,0.35,-1.56
2016-03-08,서산,129,1.50,1.12,0.02
2016-03-08,울진,130,0.11,-0.58,-0.67
2016-03-08,청주,131,0.64,0.22,-2.03
2016-03-08,대전,133,0.96,0.60,-1.26
2016-03-08,추풍령,135,1.31,1.21,0.50
2016-03-08,포항,138,0.51,0.73,0.35
2016-03-08,군산,140,0.73,1.03,-0.10
2016-03-08,대구,143,1.05,1.21,0.80
2016-03-08,전주,146,1.18,1.12,0.18
2016-03-08,울산,152,0.74,1.12,0.38
2016-03-08,광주,156,0.91,1.25,0.38
2016-03-08,부산,159,1.51,1.72,1.34
2016-03-08,통영,162,1.91,2.27,2.01
2016-03-08,목포,165,0.69,1.86,0.97
2016-03-08,여수,168,1.18,1.51,0.28
2016-03-08,완도,170,0.90,1.79,0.77
2016-03-08,제주,184,0.31,1.56,1.25
2016-03-08,성산,188,1.64,2.60,4.52
2016-03-08,서귀포,189,1.60,2.06,3.13
2016-03-08,진주,192,1.63,1.70,1.27
2016-03-08,강화,201,1.93,1.21,-0.32
2016-03-08,양평,202,0.71,-0.12,-2.45
2016-03-08,이천,203,1.74,1.21,0.45
2016-03-08,인제,211,1.68,0.85,0.00
2016-03-08,홍천,212,1.24,0.44,-2.21
2016-03-08,제천,221,1.32,0.68,-1.44
2016-03-08,보은,226,1.17,0.81,-0.24
2016-03-08,천안,232,0.88,0.35,-1.67
2016-03-08,보령,235,1.08,0.86,-1.34
2016-03-08,부여,236,0.76,0.59,-1.37
2016-03-08,금산,238,1.21,0.81,-0.04
2016-03-08,부안,243,0.99,1.56,0.47
2016-03-08,임실,244,1.20,1.28,0.30
2016-03-08,정읍,245,1.21,1.53,0.96
2016-03-08,남원,247,1.48,1.38,0.45
2016-03-08,장흥,260,1.15,1.71,0.46
2016-03-08,해남,261,0.84,1.43,0.68
2016-03-08,고흥,262,0.90,1.38,0.33
2016-03-08,영주,272,1.22,0.78,-1.00
2016-03-08,문경,273,1.13,0.89,-0.20
2016-03-08,영덕,277,-0.01,-0.26,-0.53
2016-03-08,의성,278,1.11,0.71,-0.98
2016-03-08,구미,279,1.02,1.15,0.23
2016-03-08,영천,281,1.31,1.36,0.98
2016-03-08,거창,284,1.16,1.25,0.33
2016-03-08,합천,285,1.34,1.56,0.88
2016-03-08,밀양,288,1.46,1.71,1.04
2016-03-08,산청,289,1.15,1.32,0.65
2016-03-08,거제,294,1.65,1.95,1.50
2016-03-08,남해,295,1.59,1.79,1.19
