발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2015-05-12,속초,90,-0.56,-1.10,60.80,-1.96
2015-05-12,대관령,100,-1.34,-1.46,33.60,-1.56
2015-05-12,춘천,101,0.15,0.09,106.30,-0.75
2015-05-12,강릉,105,-0.89,-1.45,49.70,-1.21
2015-05-12,서울,108,-0.49,-0.73,72.10,-2.04
2015-05-12,인천,112,-0.36,-0.83,80.70,-1.96
2015-05-12,원주,114,-0.34,-0.24,73.80,-0.99
2015-05-12,수원,119,-0.14,-0.30,90.00,-0.40
2015-05-12,충주,127,-0.41,-0.26,64.80,-0.59
2015-05-12,서산,129,0.17,0.14,107.30,0.34
2015-05-12,울진,130,-0.40,-0.89,75.60,-0.53
2015-05-12,청주,131,0.06,0.23,100.00,-0.07
2015-05-12,대전,133,-0.30,-0.30,79.50,-0.32
2015-05-12,추풍령,135,0.08,0.04,100.40,0.15
2015-05-12,포항,138,0.46,-0.22,132.40,0.08
2015-05-12,군산,140,0.51,0.45,132.90,1.01
2015-05-12,대구,143,0.04,-0.16,105.30,0.18
2015-05-12,전주,146,-0.25,-0.68,81.40,-0.33
2015-05-12,울산,152,0.62,0.07,136.40,0.84
2015-05-12,광주,156,0.51,-0.02,132.40,0.77
2015-05-12,부산,159,1.23,1.28,178.60,1.96
2015-05-12,통영,162,1.40,1.73,202.50,2.74
2015-05-12,목포,165,1.21,0.71,196.60,1.71
2015-05-12,여수,168,1.43,1.73,205.60,2.55
2015-05-12,완도,170,2.19,2.50,308.50,5.01
2015-05-12,제주,184,1.63,1.02,214.60,2.40
2015-05-12,성산,188,2.00,2.23,271.70,4.17
2015-05-12,서귀포,189,2.15,2.52,277.90,6.25
2015-05-12,진주,192,1.22,1.32,200.20,2.90
2015-05-12,강화,201,-0.69,-1.18,60.80,-2.71
2015-05-12,양평,202,-0.17,-0.40,87.60,-1.67
2015-05-12,이천,203,0.11,-0.12,105.80,-0.55
2015-05-12,인제,211,-0.60,-0.54,60.40,-1.81
2015-05-12,홍천,212,-0.19,-0.52,81.70,-1.95
2015-05-12,제천,221,-0.76,-0.43,54.70,-0.89
2015-05-12,보은,226,-0.09,-0.04,85.60,-0.03
2015-05-12,천안,232,-0.05,-0.22,97.80,-0.23
2015-05-12,보령,235,0.32,0.57,121.60,0.74
2015-05-12,부여,236,0.10,0.07,109.90,0.52
2015-05-12,금산,238,-0.35,-0.35,78.20,-0.16
2015-05-12,부안,243,0.63,0.35,142.00,0.97
2015-05-12,임실,244,-0.11,-0.66,92.80,-0.01
2015-05-12,정읍,245,0.15,-0.25,110.00,0.25
2015-05-12,남원,247,-0.11,-0.55,98.10,-0.06
2015-05-12,장흥,260,0.82,0.44,166.50,1.72
2015-05-12,해남,261,0.93,0.33,177.00,1.30
2015-05-12,고흥,262,1.53,1.64,239.40,3.21
2015-05-12,영주,272,-0.15,-0.21,88.30,0.16
2015-05-12,문경,273,-0.09,0.01,87.80,0.02
2015-05-12,영덕,277,-0.15,-0.75,96.70,-0.28
2015-05-12,의성,278,-0.56,-0.59,62.80,-0.47
2015-05-12,구미,279,0.07,0.05,105.80,0.39
2015-05-12,영천,281,-0.20,-0.41,94.60,0.15
2015-05-12,거창,284,0.47,0.04,131.50,0.66
2015-05-12,합천,285,1.09,0.73,184.90,1.41
2015-05-12,밀양,288,0.40,0.23,127.50,1.01
2015-05-12,산청,289,1.11,0.86,183.60,1.54
2015-05-12,거제,294,1.10,1.14,174.00,1.52
2015-05-12,남해,295,1.51,1.58,223.30,2.80
