발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2014-04-11,속초,90,0.20,1.37,105.20,0.42
2014-04-11,철원,95,-,-,23.53,-
2014-04-11,대관령,100,0.13,0.37,97.30,-1.25
2014-04-11,춘천,101,-0.96,-1.43,41.00,-0.27
2014-04-11,강릉,105,0.08,1.19,103.80,-0.23
2014-04-11,서울,108,-1.47,-1.66,12.20,-1.06
2014-04-11,인천,112,-1.47,-1.71,9.20,-1.27
2014-04-11,원주,114,-0.45,-0.60,73.00,-0.48
2014-04-11,수원,119,-1.36,-1.73,14.10,-1.41
2014-04-11,충주,127,-0.04,-0.59,99.60,-0.77
2014-04-11,서산,129,-0.48,-1.24,62.50,-1.82
2014-04-11,울진,130,0.61,0.10,137.50,-0.11
2014-04-11,청주,131,0.17,-1.10,111.20,-0.83
2014-04-11,대전,133,0.40,-1.02,121.10,-1.24
2014-04-11,추풍령,135,1.03,-0.21,167.30,-0.87
2014-04-11,안동,136,-,-,175.75,-
2014-04-11,포항,138,1.86,1.69,233.10,0.92
2014-04-11,군산,140,1.09,-0.38,169.80,-0.72
2014-04-11,대구,143,1.60,0.36,221.30,0.19
2014-04-11,전주,146,1.15,-0.56,166.60,-0.66
2014-04-11,울산,152,1.14,0.99,181.80,-0.04
2014-04-11,창원,155,-,-,161.22,-
2014-04-11,광주,156,0.67,-0.73,145.40,-0.60
2014-04-11,부산,159,0.66,-0.10,145.90,-0.68
2014-04-11,통영,162,1.19,0.41,177.40,-0.11
2014-04-11,목포,165,0.62,-0.59,133.50,-0.45
2014-04-11,여수,168,0.56,-0.36,134.80,-0.87
2014-04-11,완도,170,0.12,-0.42,100.80,-1.05
2014-04-11,제주,184,-0.64,0.20,58.10,-1.02
2014-04-11,고산,185,-,-,110.63,-
2014-04-11,성산,188,-0.20,0.46,80.20,-0.40
2014-04-11,서귀포,189,0.54,0.15,123.60,-0.96
2014-04-11,진주,192,0.46,-0.63,133.90,-0.86
2014-04-11,강화,201,-1.64,-2.08,6.30,-1.08
2014-04-11,양평,202,-0.88,-1.19,37.40,-0.47
2014-04-11,이천,203,-0.88,-0.93,41.20,-0.93
2014-04-11,인제,211,0.01,-0.64,100.70,-0.25
2014-04-11,홍천,212,-0.78,-1.62,49.20,-0.97
2014-04-11,태백,216,-,-,120.42,-
2014-04-11,제천,221,0.06,-0.54,105.30,-0.48
2014-04-11,보은,226,0.65,-0.71,143.90,-0.71
2014-04-11,천안,232,-0.26,-1.01,81.90,-1.11
2014-04-11,보령,235,0.31,-0.71,117.90,-0.32
2014-04-11,부여,236,0.32,-0.85,117.80,-0.89
2014-04-11,금산,238,1.17,-0.49,178.80,-1.12
2014-04-11,부안,243,0.59,-1.06,142.30,-0.81
2014-04-11,임실,244,0.95,-0.65,161.60,-0.34
2014-04-11,정읍,245,0.58,-0.97,134.20,-1.15
2014-04-11,남원,247,1.02,-0.41,176.70,0.04
2014-04-11,장수,248,-,-,171.90,-
2014-04-11,장흥,260,0.06,-0.96,99.50,-1.30
2014-04-11,해남,261,0.05,-0.91,97.10,-1.07
2014-04-11,고흥,262,0.11,-0.65,109.10,-0.95
2014-04-11,봉화,271,-,-,82.83,-
2014-04-11,영주,272,0.01,-1.08,98.00,-0.83
2014-04-11,문경,273,0.65,-0.58,148.60,-0.53
2014-04-11,영덕,277,1.02,0.43,177.30,-0.09
2014-04-11,의성,278,0.97,-0.32,168.10,-0.78
2014-04-11,구미,279,1.01,-0.32,168.90,-0.67
2014-04-11,영천,281,1.74,0.75,246.30,0.39
2014-04-11,거창,284,0.53,-0.82,133.10,-0.73
2014-04-11,합천,285,0.96,-0.29,164.70,-0.06
2014-04-11,밀양,288,1.16,0.06,191.10,-0.24
2014-04-11,산청,289,0.18,-1.18,107.30,-0.99
2014-04-11,거제,294,1.22,0.47,178.90,-0.30
2014-04-11,남해,295,0.73,-0.24,146.90,-0.58
