발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2013-12-06,속초,90,-0.69,-0.23,31.30,-1.28
2013-12-06,철원,95,-,-,100.00,-
2013-12-06,대관령,100,-0.18,-0.61,62.60,-1.75
2013-12-06,춘천,101,0.66,0.75,134.40,1.07
2013-12-06,강릉,105,-1.14,-0.38,13.40,-1.80
2013-12-06,서울,108,0.11,0.31,84.10,-0.44
2013-12-06,인천,112,0.11,0.74,79.70,-0.48
2013-12-06,원주,114,0.34,0.27,106.60,0.18
2013-12-06,수원,119,0.52,0.63,121.80,-0.48
2013-12-06,충주,127,0.33,-0.05,104.20,-0.63
2013-12-06,서산,129,0.36,0.23,101.70,-0.94
2013-12-06,울진,130,-0.49,0.51,38.40,-0.43
2013-12-06,청주,131,0.88,0.60,158.10,-0.12
2013-12-06,대전,133,0.54,0.28,127.60,-0.84
2013-12-06,추풍령,135,0.25,0.10,117.40,-1.00
2013-12-06,안동,136,-,-,100.00,-
2013-12-06,포항,138,-0.29,0.53,58.90,-0.55
2013-12-06,군산,140,1.08,0.25,173.10,-0.41
2013-12-06,대구,143,0.50,0.67,141.50,-0.02
2013-12-06,전주,146,0.78,-0.21,148.60,-0.17
2013-12-06,울산,152,0.17,-0.06,106.30,-1.12
2013-12-06,창원,155,-,-,100.00,-
2013-12-06,광주,156,1.15,0.00,190.70,-0.16
2013-12-06,부산,159,0.49,-0.46,142.40,-0.79
2013-12-06,통영,162,0.63,-0.06,161.20,-0.54
2013-12-06,목포,165,1.37,0.63,224.50,0.09
2013-12-06,여수,168,0.47,-0.40,132.10,-0.59
2013-12-06,완도,170,0.71,-0.54,152.00,-0.70
2013-12-06,제주,184,0.28,-0.36,130.60,-1.31
2013-12-06,고산,185,-,-,100.00,-
2013-12-06,성산,188,0.76,-0.16,168.20,-1.05
2013-12-06,서귀포,189,0.37,-0.63,117.50,-1.67
2013-12-06,진주,192,0.67,-0.16,168.00,-0.58
2013-12-06,강화,201,0.44,-0.05,104.20,-0.49
2013-12-06,양평,202,0.84,0.94,153.20,0.62
2013-12-06,이천,203,0.39,0.59,104.70,-0.22
2013-12-06,인제,211,0.49,0.61,119.50,0.18
2013-12-06,홍천,212,0.58,0.41,127.10,-0.45
2013-12-06,태백,216,-,-,100.00,-
2013-12-06,제천,221,0.69,0.08,139.40,-0.07
2013-12-06,보은,226,0.74,0.50,148.10,-0.53
2013-12-06,천안,232,0.40,-0.14,111.10,-0.66
2013-12-06,보령,235,0.68,1.63,126.60,0.62
2013-12-06,부여,236,0.76,0.66,139.00,-0.45
2013-12-06,금산,238,0.34,-0.28,110.90,-1.07
2013-12-06,부안,243,0.67,-0.55,137.00,-0.30
2013-12-06,임실,244,0.84,-0.01,163.20,0.22
2013-12-06,정읍,245,0.67,-0.81,132.00,-0.81
2013-12-06,남원,247,0.81,0.58,163.30,0.29
2013-12-06,장수,248,-,-,100.00,-
2013-12-06,장흥,260,0.81,-0.29,154.90,-0.75
2013-12-06,해남,261,1.08,0.00,185.20,-0.51
2013-12-06,고흥,262,0.66,-0.04,152.70,-0.50
2013-12-06,봉화,271,-,-,100.00,-
2013-12-06,영주,272,0.68,0.80,143.20,-0.41
2013-12-06,문경,273,0.90,0.79,178.00,-0.12
2013-12-06,영덕,277,-0.23,0.78,60.00,-0.66
2013-12-06,의성,278,0.33,0.53,121.30,-0.69
2013-12-06,구미,279,0.35,0.35,125.40,-0.52
2013-12-06,영천,281,0.11,0.42,99.20,-0.28
2013-12-06,거창,284,0.31,0.44,128.10,-0.39
2013-12-06,합천,285,0.66,0.99,172.00,0.27
2013-12-06,밀양,288,0.78,0.00,161.50,-0.39
2013-12-06,산청,289,0.62,0.43,155.30,-0.48
2013-12-06,거제,294,0.81,0.19,190.00,-0.76
2013-12-06,남해,295,0.75,-0.06,173.20,-0.45
