발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2013-10-02,속초,90,0.09,-0.15,82.90,-0.57
2013-10-02,철원,95,-,-,100.00,-
2013-10-02,대관령,100,-0.47,-0.97,43.20,-1.40
2013-10-02,춘천,101,0.69,1.53,118.90,0.98
2013-10-02,강릉,105,-0.35,-1.14,56.90,-1.43
2013-10-02,서울,108,0.48,0.43,88.40,-0.22
2013-10-02,인천,112,0.95,0.31,144.40,-0.04
2013-10-02,원주,114,0.33,0.70,84.70,0.31
2013-10-02,수원,119,0.73,0.13,126.70,-0.21
2013-10-02,충주,127,0.13,-0.30,82.00,-0.31
2013-10-02,서산,129,0.36,-0.55,95.00,-0.60
2013-10-02,울진,130,-0.49,-1.15,60.30,-0.90
2013-10-02,청주,131,0.40,-0.46,115.20,-0.12
2013-10-02,대전,133,0.26,-0.90,96.50,-0.68
2013-10-02,추풍령,135,-0.07,-1.08,70.90,-0.93
2013-10-02,안동,136,-,-,100.00,-
2013-10-02,포항,138,-0.83,-1.08,38.80,-0.96
2013-10-02,군산,140,0.07,-0.40,87.20,-0.38
2013-10-02,대구,143,-0.22,-0.15,69.50,-0.43
2013-10-02,전주,146,-0.21,0.03,66.90,-0.09
2013-10-02,울산,152,-1.18,-1.75,30.10,-1.54
2013-10-02,창원,155,-,-,36.56,-
2013-10-02,광주,156,-0.34,0.09,64.50,-0.35
2013-10-02,부산,159,-1.36,-1.60,19.60,-1.12
2013-10-02,통영,162,-1.00,-1.57,35.10,-1.03
2013-10-02,목포,165,0.45,0.06,113.00,-0.20
2013-10-02,여수,168,-0.55,-0.93,47.00,-0.70
2013-10-02,완도,170,-0.36,-0.86,48.20,-0.78
2013-10-02,제주,184,-0.44,-2.70,43.50,-1.34
2013-10-02,고산,185,-,-,72.25,-
2013-10-02,성산,188,-0.53,-1.75,48.00,-1.21
2013-10-02,서귀포,189,-0.62,-3.09,44.90,-1.54
2013-10-02,진주,192,-0.68,-0.94,40.80,-0.88
2013-10-02,강화,201,0.20,0.21,68.60,-0.27
2013-10-02,양평,202,0.79,1.10,128.20,0.50
2013-10-02,이천,203,0.60,0.39,108.70,0.00
2013-10-02,인제,211,0.49,0.92,100.70,0.26
2013-10-02,홍천,212,0.31,0.33,80.80,-0.36
2013-10-02,태백,216,-,-,68.66,-
2013-10-02,제천,221,0.07,0.33,76.60,0.06
2013-10-02,보은,226,0.26,-0.80,102.40,-0.55
2013-10-02,천안,232,0.01,-0.18,78.20,-0.40
2013-10-02,보령,235,1.62,0.58,240.60,0.80
2013-10-02,부여,236,0.63,-0.45,125.90,-0.34
2013-10-02,금산,238,-0.26,-0.94,61.20,-0.92
2013-10-02,부안,243,-0.39,-0.09,44.70,-0.25
2013-10-02,임실,244,-0.19,0.47,68.70,0.13
2013-10-02,정읍,245,-0.65,-0.49,41.20,-0.65
2013-10-02,남원,247,0.15,0.44,100.00,0.28
2013-10-02,장수,248,-,-,96.85,-
2013-10-02,장흥,260,-0.34,-0.81,47.40,-0.81
2013-10-02,해남,261,0.01,-0.65,72.80,-0.61
2013-10-02,고흥,262,-0.18,-0.71,56.20,-0.60
2013-10-02,봉화,271,-,-,100.00,-
2013-10-02,영주,272,0.55,-1.03,124.20,-0.32
2013-10-02,문경,273,0.31,-0.70,105.50,-0.23
2013-10-02,영덕,277,-0.39,-1.76,64.60,-1.13
2013-10-02,의성,278,0.09,-1.00,90.20,-0.75
2013-10-02,구미,279,0.11,-0.50,86.30,-0.47
2013-10-02,영천,281,-0.68,-0.29,51.80,-0.68
2013-10-02,거창,284,0.30,-0.12,101.20,-0.33
2013-10-02,합천,285,0.15,0.10,100.90,0.01
2013-10-02,밀양,288,-0.61,-0.68,48.30,-0.69
2013-10-02,산청,289,-0.12,-0.62,68.00,-0.63
2013-10-02,거제,294,-1.17,-1.81,26.20,-1.33
2013-10-02,남해,295,-0.64,-1.08,39.50,-0.80
