발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2019-10-18,속초,90,1.21,0.77,187.44,0.48
2019-10-18,철원,95,-0.40,0.21,41.26,-1.04
2019-10-18,대관령,100,1.30,-0.11,179.83,-0.76
2019-10-18,춘천,101,0.08,-0.07,74.46,-1.30
2019-10-18,강릉,105,2.46,1.65,424.59,2.52
2019-10-18,서울,108,0.05,-0.17,61.81,-1.37
2019-10-18,인천,112,-0.31,0.28,36.96,-1.02
2019-10-18,원주,114,0.60,-0.64,107.33,-1.90
2019-10-18,수원,119,0.37,0.00,87.37,-1.34
2019-10-18,충주,127,0.99,-0.36,157.90,-1.22
2019-10-18,서산,129,0.65,-0.06,119.41,-0.99
2019-10-18,울진,130,2.99,2.27,636.54,3.60
2019-10-18,청주,131,1.24,-0.09,204.50,-1.10
2019-10-18,대전,133,1.54,-0.10,256.47,-0.80
2019-10-18,추풍령,135,2.04,1.18,410.58,0.78
2019-10-18,안동,136,1.88,0.65,333.49,0.03
2019-10-18,포항,138,2.47,1.65,575.88,1.96
2019-10-18,군산,140,1.55,0.45,291.39,-0.29
2019-10-18,대구,143,1.76,0.79,371.97,0.51
2019-10-18,전주,146,1.41,0.13,257.80,-0.72
2019-10-18,울산,152,1.94,1.28,420.79,1.13
2019-10-18,창원,155,1.95,0.93,370.96,0.59
2019-10-18,광주,156,1.67,0.06,340.74,-0.23
2019-10-18,부산,159,1.71,1.22,331.93,0.71
2019-10-18,통영,162,2.09,1.17,453.69,1.23
2019-10-18,목포,165,1.94,1.26,399.28,1.04
2019-10-18,여수,168,2.03,1.07,419.44,0.92
2019-10-18,완도,170,1.74,1.13,337.93,0.87
2019-10-18,제주,184,2.15,2.31,401.39,2.01
2019-10-18,고산,185,1.99,2.87,374.03,3.02
2019-10-18,성산,188,1.97,2.70,433.40,2.50
2019-10-18,서귀포,189,1.44,2.13,285.36,1.47
2019-10-18,진주,192,1.91,0.77,392.91,0.52
2019-10-18,강화,201,-0.72,0.77,28.87,-0.44
2019-10-18,양평,202,0.38,0.23,85.63,-1.04
2019-10-18,이천,203,0.99,0.25,151.85,-0.82
2019-10-18,인제,211,0.48,-0.19,104.50,-1.27
2019-10-18,홍천,212,0.48,-0.08,97.12,-1.41
2019-10-18,태백,216,1.50,0.79,258.71,0.32
2019-10-18,제천,221,1.00,-0.51,156.79,-1.40
2019-10-18,보은,226,1.77,0.25,292.53,-0.38
2019-10-18,천안,232,1.09,-0.21,175.67,-1.14
2019-10-18,보령,235,1.01,-0.16,173.38,-1.28
2019-10-18,부여,236,1.31,0.22,230.94,-0.76
2019-10-18,금산,238,1.63,0.31,305.20,-0.38
2019-10-18,부안,243,1.50,0.80,278.13,0.07
2019-10-18,임실,244,1.75,0.50,330.06,-0.24
2019-10-18,정읍,245,1.87,1.38,329.88,0.61
2019-10-18,남원,247,1.86,0.41,432.87,0.51
2019-10-18,장수,248,1.56,0.74,346.74,0.30
2019-10-18,장흥,260,1.97,0.81,434.84,0.65
2019-10-18,해남,261,2.01,1.42,446.67,0.81
2019-10-18,고흥,262,2.33,1.41,519.85,1.44
2019-10-18,봉화,271,1.45,0.84,218.46,0.14
2019-10-18,영주,272,1.61,0.29,284.44,-0.41
2019-10-18,문경,273,1.88,0.68,324.35,0.01
2019-10-18,영덕,277,2.55,1.75,583.06,2.54
2019-10-18,의성,278,2.10,0.54,372.55,-0.03
2019-10-18,구미,279,2.26,1.31,545.07,1.18
2019-10-18,영천,281,1.83,0.75,360.85,0.61
2019-10-18,거창,284,1.88,0.74,417.53,0.42
2019-10-18,합천,285,2.20,0.96,538.24,1.25
2019-10-18,밀양,288,1.76,0.84,328.16,0.46
2019-10-18,산청,289,2.18,1.15,511.72,1.19
2019-10-18,거제,294,2.21,1.58,471.22,1.32
2019-10-18,남해,295,1.89,1.21,410.18,1.21
