발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2015-03-29,속초,90,-1.59,-3.08,4.40,-2.23
2015-03-29,대관령,100,-1.17,-1.20,25.30,-1.47
2015-03-29,춘천,101,-1.98,-0.75,13.80,-2.54
2015-03-29,강릉,105,-1.15,-1.79,28.60,-1.34
2015-03-29,서울,108,-1.63,-1.47,15.90,-2.22
2015-03-29,인천,112,-1.51,-1.28,17.60,-2.20
2015-03-29,원주,114,-1.00,-0.86,46.50,-2.30
2015-03-29,수원,119,-1.38,-1.08,23.40,-1.36
2015-03-29,충주,127,-0.52,-0.28,69.50,-0.67
2015-03-29,서산,129,-1.06,-0.95,35.80,-1.18
2015-03-29,울진,130,-0.84,-1.37,51.50,-0.43
2015-03-29,청주,131,-0.14,-0.01,86.10,-0.65
2015-03-29,대전,133,-0.43,-0.15,73.50,-0.44
2015-03-29,추풍령,135,-0.14,0.24,93.30,0.48
2015-03-29,포항,138,-0.13,-0.89,90.40,-0.17
2015-03-29,군산,140,-0.22,0.14,83.50,0.27
2015-03-29,대구,143,0.34,0.18,112.10,0.27
2015-03-29,전주,146,-1.06,-0.60,55.40,-0.49
2015-03-29,울산,152,-0.14,-0.64,87.20,-0.08
2015-03-29,광주,156,-0.70,-0.57,65.00,-0.15
2015-03-29,부산,159,-0.09,0.02,92.60,0.50
2015-03-29,통영,162,0.23,0.79,108.50,1.48
2015-03-29,목포,165,-0.59,-0.57,62.10,-0.01
2015-03-29,여수,168,0.58,0.67,120.60,1.26
2015-03-29,완도,170,-0.09,0.26,86.80,1.14
2015-03-29,제주,184,0.47,-0.12,104.40,0.01
2015-03-29,성산,188,0.95,1.04,138.90,1.66
2015-03-29,서귀포,189,0.11,1.26,98.40,1.62
2015-03-29,진주,192,0.55,0.45,124.00,0.96
2015-03-29,강화,201,-1.62,-1.28,8.00,-2.59
2015-03-29,양평,202,-1.50,-1.21,18.90,-2.20
2015-03-29,이천,203,-0.87,-0.34,45.90,-1.84
2015-03-29,인제,211,-2.38,-1.38,14.10,-1.99
2015-03-29,홍천,212,-1.66,-1.85,17.60,-2.32
2015-03-29,제천,221,-0.69,-0.24,59.10,-1.37
2015-03-29,보은,226,-0.36,0.07,81.70,-0.08
2015-03-29,천안,232,-0.90,-0.85,47.60,-0.91
2015-03-29,보령,235,-0.74,-0.45,57.20,-0.53
2015-03-29,부여,236,-0.49,0.10,66.50,-0.09
2015-03-29,금산,238,-0.33,0.03,84.60,0.06
2015-03-29,부안,243,-0.49,-0.37,80.50,0.31
2015-03-29,임실,244,-0.76,-1.05,67.60,-0.28
2015-03-29,정읍,245,-0.69,-0.72,68.80,-0.09
2015-03-29,남원,247,-0.74,-0.68,63.70,-0.28
2015-03-29,장흥,260,-0.70,-0.91,57.10,-0.13
2015-03-29,해남,261,-1.04,-1.28,44.90,-0.80
2015-03-29,고흥,262,-0.07,0.10,90.90,1.19
2015-03-29,영주,272,-0.32,-0.24,72.20,0.09
2015-03-29,문경,273,-0.02,0.05,92.40,-0.10
2015-03-29,영덕,277,-0.44,-1.34,72.50,-0.24
2015-03-29,의성,278,0.15,0.12,98.00,0.00
2015-03-29,구미,279,0.38,0.41,113.90,1.04
2015-03-29,영천,281,0.26,-0.19,106.70,0.51
2015-03-29,거창,284,-0.06,-0.18,94.80,0.06
2015-03-29,합천,285,-0.12,-0.21,88.70,0.17
2015-03-29,밀양,288,0.23,-0.02,106.60,0.18
2015-03-29,산청,289,-0.03,0.03,92.00,0.19
2015-03-29,거제,294,-0.17,-0.16,85.20,0.58
2015-03-29,남해,295,0.55,0.66,121.90,1.15
