발표일자,지점명,지점코드,spi1,spi3,edi
2016-02-14,속초,90,-0.40,0.98,-0.29
2016-02-14,대관령,100,-0.61,0.04,-1.79
2016-02-14,춘천,101,1.26,1.29,-2.13
2016-02-14,강릉,105,0.21,0.69,-0.74
2016-02-14,서울,108,1.16,0.99,-2.50
2016-02-14,인천,112,1.24,1.20,-2.62
2016-02-14,원주,114,0.53,0.92,-1.79
2016-02-14,수원,119,1.32,1.78,-1.72
2016-02-14,충주,127,0.53,0.91,-1.76
2016-02-14,서산,129,1.50,1.88,-1.14
2016-02-14,울진,130,-0.76,0.78,-0.79
2016-02-14,청주,131,0.56,0.90,-2.03
2016-02-14,대전,133,0.52,0.92,-1.58
2016-02-14,추풍령,135,0.46,0.89,-1.12
2016-02-14,포항,138,0.69,0.77,-0.26
2016-02-14,군산,140,1.76,1.87,0.06
2016-02-14,대구,143,0.97,0.82,-0.21
2016-02-14,전주,146,0.55,1.13,-1.60
2016-02-14,울산,152,1.60,1.19,0.27
2016-02-14,광주,156,1.60,1.70,0.08
2016-02-14,부산,159,2.16,1.35,1.03
2016-02-14,통영,162,3.01,1.88,2.11
2016-02-14,목포,165,2.54,2.02,1.55
2016-02-14,여수,168,2.18,1.53,0.72
2016-02-14,완도,170,2.30,1.77,1.47
2016-02-14,제주,184,2.34,2.06,1.59
2016-02-14,성산,188,2.86,2.10,3.41
2016-02-14,서귀포,189,2.46,1.95,3.55
2016-02-14,진주,192,1.98,1.66,1.02
2016-02-14,강화,201,1.30,1.12,-2.98
2016-02-14,양평,202,0.45,1.05,-2.41
2016-02-14,이천,203,0.81,1.46,-1.69
2016-02-14,인제,211,1.08,0.96,-2.06
2016-02-14,홍천,212,0.77,0.62,-2.48
2016-02-14,제천,221,1.15,1.10,-1.65
2016-02-14,보은,226,0.46,0.94,-1.29
2016-02-14,천안,232,0.68,1.27,-1.71
2016-02-14,보령,235,1.04,1.77,-1.26
2016-02-14,부여,236,0.91,1.41,-1.15
2016-02-14,금산,238,0.61,0.71,-1.16
2016-02-14,부안,243,1.65,1.71,0.11
2016-02-14,임실,244,1.08,1.45,-1.12
2016-02-14,정읍,245,1.46,1.48,-0.53
2016-02-14,남원,247,1.29,1.49,-0.84
2016-02-14,장흥,260,2.35,1.77,0.33
2016-02-14,해남,261,1.68,1.42,0.16
2016-02-14,고흥,262,2.35,1.33,0.51
2016-02-14,영주,272,1.08,1.11,-1.22
2016-02-14,문경,273,0.66,1.19,-1.26
2016-02-14,영덕,277,-0.20,1.09,-0.44
2016-02-14,의성,278,0.32,0.41,-1.52
2016-02-14,구미,279,0.76,1.05,-0.74
2016-02-14,영천,281,0.84,0.80,-0.48
2016-02-14,거창,284,1.30,1.47,-0.09
2016-02-14,합천,285,1.60,1.35,0.06
2016-02-14,밀양,288,1.78,1.17,0.03
2016-02-14,산청,289,1.66,1.28,0.15
2016-02-14,거제,294,2.53,1.87,1.62
2016-02-14,남해,295,2.28,1.82,1.87
