발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2016-08-15,속초,90,-0.03,0.64,72.30,0.01
2016-08-15,대관령,100,-0.87,-0.33,38.40,-0.92
2016-08-15,춘천,101,-0.39,0.37,66.80,-0.06
2016-08-15,강릉,105,0.16,0.48,78.80,0.00
2016-08-15,서울,108,-1.37,-0.94,29.20,-1.04
2016-08-15,인천,112,-1.30,-0.90,28.10,-1.05
2016-08-15,원주,114,-1.71,-1.20,25.30,-1.62
2016-08-15,수원,119,-1.14,-1.25,37.10,-1.32
2016-08-15,충주,127,-1.19,-0.62,44.30,-1.06
2016-08-15,서산,129,-0.12,-0.80,73.00,-0.80
2016-08-15,울진,130,-0.17,0.19,52.40,-0.23
2016-08-15,청주,131,-1.73,-0.96,28.60,-1.29
2016-08-15,대전,133,-3.09,-0.62,19.30,-0.87
2016-08-15,추풍령,135,-1.82,-0.84,18.90,-0.95
2016-08-15,포항,138,-2.00,-2.11,7.70,-1.27
2016-08-15,군산,140,-2.17,-0.73,14.40,-0.78
2016-08-15,대구,143,0.57,-0.27,111.50,-0.13
2016-08-15,전주,146,-2.19,-1.03,15.30,-1.27
2016-08-15,울산,152,-0.06,-0.89,67.90,-0.66
2016-08-15,광주,156,-2.49,-0.64,21.90,-0.80
2016-08-15,부산,159,-1.63,-1.33,7.00,-1.18
2016-08-15,통영,162,-1.40,-1.07,14.30,-0.84
2016-08-15,목포,165,-1.43,-0.50,13.90,-0.51
2016-08-15,여수,168,-1.86,-1.26,1.00,-1.17
2016-08-15,완도,170,-1.45,-0.93,5.20,-0.97
2016-08-15,제주,184,-2.87,-0.85,4.30,-0.93
2016-08-15,성산,188,-1.47,-0.73,12.80,-0.54
2016-08-15,서귀포,189,-0.20,-0.15,64.20,-0.17
2016-08-15,진주,192,-1.40,-1.48,17.60,-1.23
2016-08-15,강화,201,-1.36,-1.21,28.80,-1.11
2016-08-15,양평,202,-1.32,-0.91,31.40,-1.25
2016-08-15,이천,203,-1.54,-1.67,34.70,-1.57
2016-08-15,인제,211,-1.05,0.39,43.80,-0.14
2016-08-15,홍천,212,-1.42,-0.59,35.30,-1.14
2016-08-15,제천,221,-1.26,-0.55,37.80,-0.96
2016-08-15,보은,226,-1.53,-0.04,34.70,-0.39
2016-08-15,천안,232,-1.03,-0.65,44.20,-0.79
2016-08-15,보령,235,-2.24,-1.41,14.40,-1.44
2016-08-15,부여,236,-3.09,-0.66,24.00,-0.84
2016-08-15,금산,238,-1.81,-0.42,22.80,-0.60
2016-08-15,부안,243,-1.89,-1.44,8.60,-1.27
2016-08-15,임실,244,-1.51,-0.94,31.30,-0.82
2016-08-15,정읍,245,-3.09,-1.46,10.50,-1.17
2016-08-15,남원,247,-0.92,-0.68,49.50,-0.66
2016-08-15,장흥,260,-1.77,-1.16,10.20,-1.16
2016-08-15,해남,261,-1.62,-1.14,4.30,-1.22
2016-08-15,고흥,262,-1.57,-1.56,8.20,-1.22
2016-08-15,영주,272,-1.30,-0.09,36.90,-0.40
2016-08-15,문경,273,-1.61,-0.60,24.30,-0.81
2016-08-15,영덕,277,-3.09,-1.45,12.50,-0.96
2016-08-15,의성,278,-1.01,-0.88,43.90,-0.78
2016-08-15,구미,279,-0.80,-0.25,58.00,-0.19
2016-08-15,영천,281,-2.37,-1.56,12.90,-1.05
2016-08-15,거창,284,-0.84,-1.09,46.80,-1.02
2016-08-15,합천,285,-0.93,-1.20,42.40,-0.98
2016-08-15,밀양,288,-0.89,-1.13,43.10,-1.00
2016-08-15,산청,289,-1.11,-1.35,24.00,-1.09
2016-08-15,거제,294,-1.83,-0.76,7.40,-0.78
2016-08-15,남해,295,-1.81,-1.54,1.20,-1.19
