발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2014-05-11,속초,90,-0.05,0.38,91.90,0.28
2014-05-11,철원,95,-,-,34.14,-
2014-05-11,대관령,100,0.62,0.04,133.80,-0.34
2014-05-11,춘천,101,-1.33,-2.12,35.40,-0.96
2014-05-11,강릉,105,1.40,1.26,215.50,0.97
2014-05-11,서울,108,-1.03,-1.83,43.60,-1.35
2014-05-11,인천,112,-0.56,-1.55,65.90,-1.30
2014-05-11,원주,114,-1.17,-1.90,43.30,-1.03
2014-05-11,수원,119,-0.26,-1.47,80.90,-1.18
2014-05-11,충주,127,-1.12,-1.54,38.80,-1.13
2014-05-11,서산,129,0.21,-0.84,104.60,-0.93
2014-05-11,울진,130,2.09,1.58,340.00,2.24
2014-05-11,청주,131,-0.84,-1.20,51.70,-1.14
2014-05-11,대전,133,-0.50,-0.97,67.10,-1.39
2014-05-11,추풍령,135,0.48,0.22,127.80,-0.09
2014-05-11,안동,136,-,-,63.10,-
2014-05-11,포항,138,0.37,2.15,128.30,1.02
2014-05-11,군산,140,0.41,0.13,121.60,-0.15
2014-05-11,대구,143,0.63,0.88,140.90,0.61
2014-05-11,전주,146,0.01,-0.29,91.80,-0.55
2014-05-11,울산,152,-0.39,0.48,81.70,-0.29
2014-05-11,창원,155,-,-,71.47,-
2014-05-11,광주,156,-0.60,-0.81,67.30,-1.00
2014-05-11,부산,159,0.13,0.01,100.90,-0.30
2014-05-11,통영,162,-0.44,-0.06,72.30,-0.46
2014-05-11,목포,165,-0.16,-0.44,91.90,-0.53
2014-05-11,여수,168,-1.04,-0.79,48.50,-1.09
2014-05-11,완도,170,0.19,-0.22,114.30,-0.61
2014-05-11,제주,184,-0.74,-0.26,60.80,-1.59
2014-05-11,고산,185,-,-,77.68,-
2014-05-11,성산,188,0.27,0.41,111.40,-0.06
2014-05-11,서귀포,189,0.06,0.08,100.20,-0.69
2014-05-11,진주,192,-0.11,-0.40,94.80,-0.72
2014-05-11,강화,201,-1.20,-1.91,33.90,-1.58
2014-05-11,양평,202,-1.17,-1.85,38.00,-0.94
2014-05-11,이천,203,-0.59,-1.45,62.70,-0.95
2014-05-11,인제,211,-1.24,-1.65,33.10,-0.94
2014-05-11,홍천,212,-1.43,-2.03,29.60,-1.34
2014-05-11,태백,216,-,-,96.25,-
2014-05-11,제천,221,-0.93,-1.40,46.80,-0.94
2014-05-11,보은,226,-0.88,-0.94,51.60,-1.03
2014-05-11,천안,232,-0.17,-0.88,87.30,-0.86
2014-05-11,보령,235,-0.12,-0.66,89.40,-0.27
2014-05-11,부여,236,0.22,-0.45,111.30,-0.49
2014-05-11,금산,238,0.16,-0.11,103.80,-0.55
2014-05-11,부안,243,-0.01,-0.47,95.70,-0.71
2014-05-11,임실,244,-0.02,-0.40,96.70,-0.30
2014-05-11,정읍,245,-0.05,-0.44,97.00,-1.05
2014-05-11,남원,247,-0.41,-0.44,81.20,-0.25
2014-05-11,장수,248,-,-,80.33,-
2014-05-11,장흥,260,-0.91,-1.10,54.00,-1.57
2014-05-11,해남,261,-0.52,-0.92,73.10,-1.03
2014-05-11,고흥,262,-0.49,-0.68,69.90,-0.88
2014-05-11,봉화,271,-,-,49.61,-
2014-05-11,영주,272,-0.71,-1.20,58.40,-1.04
2014-05-11,문경,273,-0.67,-0.81,55.90,-0.76
2014-05-11,영덕,277,1.33,1.45,212.60,1.11
2014-05-11,의성,278,-0.38,-0.42,68.40,-0.77
2014-05-11,구미,279,0.85,0.56,156.40,0.34
2014-05-11,영천,281,0.36,0.86,125.20,0.53
2014-05-11,거창,284,0.41,-0.17,124.80,-0.25
2014-05-11,합천,285,0.49,0.25,137.20,0.36
2014-05-11,밀양,288,-0.57,-0.33,73.60,-0.59
2014-05-11,산청,289,0.42,-0.26,130.20,-0.47
2014-05-11,거제,294,-0.04,0.21,85.00,-0.31
2014-05-11,남해,295,-0.56,-0.40,68.50,-0.74
