발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2014-12-16,속초,90,-0.04,-1.16,75.90,-1.36
2014-12-16,대관령,100,0.02,0.11,80.40,-1.14
2014-12-16,춘천,101,0.54,-0.26,122.80,-2.13
2014-12-16,강릉,105,-0.10,0.27,66.80,-0.47
2014-12-16,서울,108,0.68,-0.04,130.60,-1.67
2014-12-16,인천,112,1.10,0.12,169.40,-1.46
2014-12-16,원주,114,-0.23,0.57,73.60,-1.73
2014-12-16,수원,119,0.74,0.38,137.70,-0.70
2014-12-16,충주,127,-0.11,1.41,77.70,-0.61
2014-12-16,서산,129,1.48,0.99,210.00,-0.31
2014-12-16,울진,130,-0.41,1.42,52.10,0.61
2014-12-16,청주,131,0.32,1.51,110.70,-0.62
2014-12-16,대전,133,0.79,1.51,150.40,-0.17
2014-12-16,추풍령,135,1.62,1.58,249.00,0.59
2014-12-16,포항,138,0.75,0.92,164.00,0.56
2014-12-16,군산,140,1.43,1.47,198.30,0.55
2014-12-16,대구,143,1.05,1.17,200.10,0.43
2014-12-16,전주,146,1.49,1.27,210.70,0.39
2014-12-16,울산,152,0.63,0.88,136.50,0.63
2014-12-16,광주,156,1.72,1.35,256.50,0.45
2014-12-16,부산,159,0.41,0.83,98.10,0.75
2014-12-16,통영,162,0.80,1.24,160.10,1.15
2014-12-16,목포,165,1.89,1.10,316.90,0.49
2014-12-16,여수,168,0.88,1.14,178.70,0.89
2014-12-16,완도,170,1.21,1.61,229.40,1.26
2014-12-16,제주,184,1.10,0.47,195.10,0.32
2014-12-16,성산,188,1.00,1.17,189.50,0.91
2014-12-16,서귀포,189,0.89,0.57,167.90,1.25
2014-12-16,진주,192,1.25,1.60,242.70,0.96
2014-12-16,강화,201,0.65,-0.10,127.30,-2.22
2014-12-16,양평,202,0.41,-0.05,109.20,-1.70
2014-12-16,이천,203,0.34,0.56,104.30,-1.68
2014-12-16,인제,211,0.08,-0.19,83.70,-1.54
2014-12-16,홍천,212,0.05,-0.17,88.00,-1.94
2014-12-16,제천,221,-0.23,1.21,72.20,-1.20
2014-12-16,보은,226,0.45,1.70,122.10,-0.03
2014-12-16,천안,232,0.36,1.07,110.80,-0.29
2014-12-16,보령,235,1.36,1.83,194.60,0.05
2014-12-16,부여,236,1.11,1.58,180.70,0.18
2014-12-16,금산,238,1.35,1.56,188.70,0.35
2014-12-16,부안,243,1.97,1.12,272.80,0.72
2014-12-16,임실,244,1.25,1.27,210.40,0.62
2014-12-16,정읍,245,1.33,1.17,190.10,0.65
2014-12-16,남원,247,1.62,1.13,251.80,0.27
2014-12-16,장흥,260,0.96,1.51,171.70,0.57
2014-12-16,해남,261,1.45,1.22,244.20,0.14
2014-12-16,고흥,262,1.14,1.17,220.20,1.37
2014-12-16,영주,272,0.14,1.84,84.30,0.36
2014-12-16,문경,273,0.30,1.74,103.10,-0.18
2014-12-16,영덕,277,0.61,1.86,148.20,0.93
2014-12-16,의성,278,1.48,1.69,252.80,0.09
2014-12-16,구미,279,1.36,1.47,246.40,1.10
2014-12-16,영천,281,0.97,1.46,188.20,1.05
2014-12-16,거창,284,1.48,1.43,259.90,0.37
2014-12-16,합천,285,1.42,1.33,274.10,0.58
2014-12-16,밀양,288,0.80,0.50,159.20,0.25
2014-12-16,산청,289,1.24,1.13,235.70,0.39
2014-12-16,거제,294,0.94,0.94,178.80,1.11
2014-12-16,남해,295,1.11,1.26,224.80,1.02
