발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2020-09-16,속초,90,1.36,2.71,169.40,2.80
2020-09-16,철원,95,0.35,1.57,101.76,1.53
2020-09-16,대관령,100,0.82,1.19,127.52,0.71
2020-09-16,춘천,101,0.11,1.06,79.01,0.85
2020-09-16,강릉,105,1.51,2.29,179.57,2.20
2020-09-16,서울,108,0.39,1.06,96.26,0.67
2020-09-16,인천,112,-0.02,0.95,69.51,0.54
2020-09-16,원주,114,0.64,0.77,120.87,0.61
2020-09-16,수원,119,0.02,1.63,83.17,1.36
2020-09-16,충주,127,0.28,1.24,99.14,0.96
2020-09-16,서산,129,0.54,1.28,113.56,0.96
2020-09-16,울진,130,0.21,1.76,94.59,1.34
2020-09-16,청주,131,0.42,1.07,105.61,0.99
2020-09-16,대전,133,0.14,1.22,89.97,0.99
2020-09-16,추풍령,135,0.89,1.94,144.03,1.82
2020-09-16,안동,136,0.36,1.64,104.95,1.16
2020-09-16,포항,138,0.37,1.14,105.73,0.86
2020-09-16,군산,140,0.59,1.69,122.42,1.77
2020-09-16,대구,143,0.13,1.31,89.11,1.09
2020-09-16,전주,146,0.00,1.96,83.43,1.96
2020-09-16,울산,152,0.61,1.53,126.07,1.24
2020-09-16,창원,155,0.53,1.27,122.34,0.74
2020-09-16,광주,156,0.05,2.08,94.04,2.23
2020-09-16,부산,159,0.42,2.30,116.55,2.28
2020-09-16,통영,162,1.02,2.14,188.67,2.38
2020-09-16,목포,165,0.61,1.27,132.92,1.24
2020-09-16,여수,168,0.24,1.34,101.58,0.95
2020-09-16,완도,170,0.62,0.57,134.69,0.46
2020-09-16,제주,184,1.03,0.48,171.38,0.40
2020-09-16,고산,185,0.74,0.79,150.96,0.47
2020-09-16,성산,188,0.87,1.09,144.36,0.88
2020-09-16,서귀포,189,0.99,0.77,169.45,0.91
2020-09-16,진주,192,0.01,1.41,83.98,0.97
2020-09-16,강화,201,0.51,1.00,112.74,0.71
2020-09-16,양평,202,0.02,0.56,75.96,0.26
2020-09-16,이천,203,0.45,1.57,107.74,1.30
2020-09-16,인제,211,0.62,1.13,112.84,0.99
2020-09-16,홍천,212,0.21,1.14,85.44,0.67
2020-09-16,태백,216,1.32,1.69,171.42,1.59
2020-09-16,제천,221,0.03,1.18,84.92,0.89
2020-09-16,보은,226,1.27,1.79,174.01,1.94
2020-09-16,천안,232,0.34,1.24,103.61,1.04
2020-09-16,보령,235,0.20,0.81,88.03,0.61
2020-09-16,부여,236,0.53,1.31,114.09,1.18
2020-09-16,금산,238,0.35,1.77,106.02,1.87
2020-09-16,부안,243,0.45,1.86,110.93,1.76
2020-09-16,임실,244,0.40,1.93,110.06,1.87
2020-09-16,정읍,245,0.85,1.89,149.30,2.14
2020-09-16,남원,247,0.34,2.08,107.27,2.13
2020-09-16,장수,248,0.82,1.79,147.98,2.28
2020-09-16,장흥,260,0.58,1.01,127.48,0.73
2020-09-16,해남,261,0.87,1.01,160.58,0.90
2020-09-16,고흥,262,0.72,0.73,137.72,0.59
2020-09-16,봉화,271,0.69,1.17,125.40,1.08
2020-09-16,영주,272,0.09,1.43,91.42,1.07
2020-09-16,문경,273,0.54,2.01,115.74,1.83
2020-09-16,영덕,277,0.37,1.99,100.68,1.40
2020-09-16,의성,278,-0.27,0.95,68.04,0.46
2020-09-16,구미,279,-0.10,1.93,74.81,1.43
2020-09-16,영천,281,0.36,1.35,104.34,1.22
2020-09-16,거창,284,0.16,1.71,90.07,1.22
2020-09-16,합천,285,0.40,1.74,109.92,1.53
2020-09-16,밀양,288,0.43,1.06,125.39,0.97
2020-09-16,산청,289,0.47,1.91,110.74,1.54
2020-09-16,거제,294,0.97,1.98,169.18,1.90
2020-09-16,남해,295,0.64,1.36,133.18,1.01
