발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2019-03-03,속초,90,-0.33,-1.24,51.30,0.42
2019-03-03,철원,95,0.11,-1.31,71.90,-0.33
2019-03-03,대관령,100,-0.81,-1.37,29.10,-0.79
2019-03-03,춘천,101,0.45,-0.44,105.80,-0.24
2019-03-03,강릉,105,-0.77,-1.07,30.50,-0.62
2019-03-03,서울,108,0.21,-0.75,81.20,-0.99
2019-03-03,인천,112,0.47,-0.42,108.30,-0.91
2019-03-03,원주,114,0.19,-0.50,83.20,-0.95
2019-03-03,수원,119,0.53,-0.23,116.50,-0.63
2019-03-03,충주,127,0.31,0.13,95.30,0.12
2019-03-03,서산,129,0.32,-0.70,99.00,-0.83
2019-03-03,울진,130,-0.53,-1.14,43.40,0.27
2019-03-03,청주,131,-0.03,-0.63,67.90,-0.26
2019-03-03,대전,133,0.52,-0.12,113.40,0.15
2019-03-03,추풍령,135,0.08,-0.34,83.10,-0.06
2019-03-03,안동,136,0.48,-0.16,104.70,-0.23
2019-03-03,포항,138,-0.43,-0.49,51.20,-0.11
2019-03-03,군산,140,0.30,-0.33,97.00,0.69
2019-03-03,대구,143,0.18,0.08,85.50,0.49
2019-03-03,전주,146,0.26,-0.27,91.10,-0.36
2019-03-03,울산,152,0.14,-0.23,85.00,0.05
2019-03-03,창원,155,0.28,-0.19,94.90,-0.36
2019-03-03,광주,156,-0.13,-0.56,72.20,-0.32
2019-03-03,부산,159,0.28,0.36,97.00,0.41
2019-03-03,통영,162,0.32,0.57,106.40,1.53
2019-03-03,목포,165,-0.40,-0.54,66.30,-0.13
2019-03-03,여수,168,0.32,0.41,105.30,0.14
2019-03-03,완도,170,-0.11,-0.36,77.40,-0.60
2019-03-03,제주,184,-0.76,-0.28,57.10,0.21
2019-03-03,고산,185,-0.39,-0.28,73.10,-0.33
2019-03-03,성산,188,0.00,-1.16,96.20,-0.41
2019-03-03,서귀포,189,-0.69,-1.02,48.50,-0.36
2019-03-03,진주,192,0.19,-0.02,87.00,0.00
2019-03-03,강화,201,0.19,-1.02,80.60,-1.35
2019-03-03,양평,202,0.39,-0.37,95.80,-0.65
2019-03-03,이천,203,0.50,-0.06,115.50,-0.18
2019-03-03,인제,211,0.59,-0.19,115.00,-0.38
2019-03-03,홍천,212,0.08,-0.71,66.20,-0.65
2019-03-03,태백,216,-0.60,-1.05,34.20,-0.13
2019-03-03,제천,221,0.15,-0.40,82.70,-0.24
2019-03-03,보은,226,0.49,0.01,110.50,0.10
2019-03-03,천안,232,0.18,-0.60,83.60,-0.75
2019-03-03,보령,235,-0.29,-0.98,55.70,-0.48
2019-03-03,부여,236,0.31,-0.37,97.50,-0.27
2019-03-03,금산,238,0.38,-0.25,100.60,-0.04
2019-03-03,부안,243,-0.28,-1.14,60.70,-0.53
2019-03-03,임실,244,-0.08,-0.73,68.50,-0.25
2019-03-03,정읍,245,-0.03,-0.71,76.30,-0.60
2019-03-03,남원,247,0.33,0.13,99.10,-0.12
2019-03-03,장수,248,-0.12,-0.68,61.10,0.00
2019-03-03,장흥,260,0.06,-0.14,85.90,-0.32
2019-03-03,해남,261,-0.26,-0.49,67.50,-0.40
2019-03-03,고흥,262,-0.02,-0.20,78.10,-0.29
2019-03-03,봉화,271,0.09,-0.56,81.90,-0.31
2019-03-03,영주,272,0.31,-0.14,88.80,0.58
2019-03-03,문경,273,0.33,-0.02,96.60,0.00
2019-03-03,영덕,277,-0.49,-0.93,41.40,0.33
2019-03-03,의성,278,0.27,-0.01,84.40,-0.38
2019-03-03,구미,279,0.08,-0.15,75.00,0.44
2019-03-03,영천,281,0.16,0.09,84.90,0.00
2019-03-03,거창,284,-0.03,-0.29,73.00,-0.46
2019-03-03,합천,285,0.04,0.07,75.30,0.38
2019-03-03,밀양,288,0.26,0.14,94.00,0.24
2019-03-03,산청,289,-0.06,-0.25,65.70,0.01
2019-03-03,거제,294,0.35,0.31,99.00,0.64
2019-03-03,남해,295,0.17,0.23,91.90,0.48
