발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2019-09-25,속초,90,0.09,0.11,80.17,-0.20
2019-09-25,철원,95,0.40,-0.46,104.04,-0.84
2019-09-25,대관령,100,-0.04,-0.94,71.04,-0.88
2019-09-25,춘천,101,-0.01,-0.96,66.30,-1.17
2019-09-25,강릉,105,0.06,0.04,79.89,-0.18
2019-09-25,서울,108,0.25,-1.12,81.62,-1.27
2019-09-25,인천,112,0.74,-0.38,122.68,-0.79
2019-09-25,원주,114,0.13,-1.56,80.72,-1.55
2019-09-25,수원,119,0.45,-1.15,103.42,-1.28
2019-09-25,충주,127,0.16,-1.35,87.93,-1.14
2019-09-25,서산,129,0.26,-0.80,82.98,-1.04
2019-09-25,울진,130,0.35,-0.17,106.24,-0.08
2019-09-25,청주,131,0.16,-1.25,90.57,-1.18
2019-09-25,대전,133,0.34,-1.10,102.76,-0.94
2019-09-25,추풍령,135,0.48,0.20,113.63,0.09
2019-09-25,안동,136,0.53,-0.65,118.11,-0.53
2019-09-25,포항,138,0.71,0.65,142.06,0.81
2019-09-25,군산,140,0.29,-0.47,96.87,-0.40
2019-09-25,대구,143,0.51,0.00,117.36,-0.07
2019-09-25,전주,146,0.38,-0.62,107.02,-0.61
2019-09-25,울산,152,0.74,0.97,148.86,0.92
2019-09-25,창원,155,0.52,0.46,128.62,0.00
2019-09-25,광주,156,0.00,-0.59,91.21,-0.69
2019-09-25,부산,159,0.22,0.86,105.33,0.29
2019-09-25,통영,162,0.45,0.85,133.18,0.62
2019-09-25,목포,165,0.86,0.49,162.45,0.63
2019-09-25,여수,168,0.81,0.60,156.40,0.31
2019-09-25,완도,170,0.83,0.63,160.90,0.39
2019-09-25,제주,184,1.90,1.68,290.68,1.82
2019-09-25,고산,185,2.50,2.05,431.00,2.16
2019-09-25,성산,188,2.08,1.82,272.40,2.30
2019-09-25,서귀포,189,1.89,1.28,254.49,1.17
2019-09-25,진주,192,0.83,0.28,161.01,0.19
2019-09-25,강화,201,1.03,0.01,158.64,-0.18
2019-09-25,양평,202,0.63,-0.66,113.46,-0.93
2019-09-25,이천,203,0.50,-0.78,106.21,-0.81
2019-09-25,인제,211,0.34,-1.21,90.89,-1.12
2019-09-25,홍천,212,-0.14,-1.15,59.18,-1.30
2019-09-25,태백,216,0.40,0.01,110.57,0.03
2019-09-25,제천,221,0.04,-1.51,79.57,-1.29
2019-09-25,보은,226,0.53,-0.66,120.63,-0.50
2019-09-25,천안,232,-0.35,-1.29,54.14,-1.20
2019-09-25,보령,235,0.07,-0.97,80.84,-1.25
2019-09-25,부여,236,0.42,-0.76,105.97,-0.81
2019-09-25,금산,238,0.71,-0.74,136.53,-0.53
2019-09-25,부안,243,0.63,0.06,127.31,0.08
2019-09-25,임실,244,0.16,-0.49,92.13,-0.57
2019-09-25,정읍,245,0.90,0.49,158.24,0.75
2019-09-25,남원,247,0.11,-0.03,91.25,-0.18
2019-09-25,장수,248,0.71,0.29,147.52,0.10
2019-09-25,장흥,260,0.48,0.06,119.19,-0.08
2019-09-25,해남,261,0.81,0.09,156.58,0.05
2019-09-25,고흥,262,0.78,0.74,148.70,0.40
2019-09-25,봉화,271,0.76,0.29,132.97,-0.16
2019-09-25,영주,272,0.14,-0.96,91.94,-0.85
2019-09-25,문경,273,0.79,-0.42,139.51,-0.27
2019-09-25,영덕,277,0.45,0.33,110.58,0.24
2019-09-25,의성,278,0.39,-0.50,105.74,-0.53
2019-09-25,구미,279,0.61,0.11,128.68,0.26
2019-09-25,영천,281,0.28,0.32,102.62,-0.01
2019-09-25,거창,284,0.80,0.02,146.22,0.07
2019-09-25,합천,285,0.80,0.30,149.45,0.32
2019-09-25,밀양,288,0.62,0.31,149.56,0.02
2019-09-25,산청,289,0.77,0.48,141.40,0.38
2019-09-25,거제,294,1.05,1.22,192.63,1.34
2019-09-25,남해,295,0.86,1.01,165.33,0.83
