발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2016-08-26,속초,90,-1.45,0.37,35.70,-0.35
2016-08-26,대관령,100,-3.09,-0.84,13.20,-1.28
2016-08-26,춘천,101,-2.33,-0.01,13.00,-0.58
2016-08-26,강릉,105,-1.56,0.05,33.50,-0.71
2016-08-26,서울,108,-1.74,-1.40,25.40,-1.26
2016-08-26,인천,112,-2.27,-1.42,14.60,-1.43
2016-08-26,원주,114,-2.90,-1.67,8.80,-1.90
2016-08-26,수원,119,-1.79,-1.77,24.40,-1.47
2016-08-26,충주,127,-2.46,-0.95,25.10,-1.33
2016-08-26,서산,129,-0.43,-1.26,56.00,-1.16
2016-08-26,울진,130,-1.78,-0.06,16.40,-0.60
2016-08-26,청주,131,-2.22,-1.36,19.50,-1.38
2016-08-26,대전,133,-3.07,-1.04,10.80,-1.29
2016-08-26,추풍령,135,-1.72,-1.21,16.50,-1.36
2016-08-26,포항,138,-0.58,-1.55,45.90,-0.94
2016-08-26,군산,140,-1.97,-1.18,3.30,-1.22
2016-08-26,대구,143,-0.93,-0.86,46.00,-0.85
2016-08-26,전주,146,-1.79,-1.31,15.00,-1.62
2016-08-26,울산,152,-0.59,-1.21,39.50,-0.90
2016-08-26,광주,156,-2.14,-0.95,18.70,-1.03
2016-08-26,부산,159,-0.73,-1.18,33.20,-0.97
2016-08-26,통영,162,-3.09,-1.28,4.50,-1.01
2016-08-26,목포,165,-1.92,-0.79,1.20,-0.81
2016-08-26,여수,168,-2.23,-1.69,0.10,-1.59
2016-08-26,완도,170,-2.32,-1.19,0.30,-1.17
2016-08-26,제주,184,-2.23,-1.52,5.80,-1.26
2016-08-26,성산,188,-1.89,-1.17,15.50,-0.80
2016-08-26,서귀포,189,-0.59,-0.42,55.40,-0.62
2016-08-26,진주,192,-1.59,-1.62,13.80,-1.36
2016-08-26,강화,201,-2.36,-1.85,11.40,-1.61
2016-08-26,양평,202,-3.09,-1.48,19.10,-1.53
2016-08-26,이천,203,-3.09,-2.01,13.70,-1.79
2016-08-26,인제,211,-1.99,0.12,26.10,-0.45
2016-08-26,홍천,212,-2.71,-1.03,8.50,-1.44
2016-08-26,제천,221,-1.84,-0.75,21.90,-1.25
2016-08-26,보은,226,-1.80,-0.35,24.80,-0.86
2016-08-26,천안,232,-1.73,-1.10,25.90,-1.03
2016-08-26,보령,235,-2.05,-2.02,4.20,-1.58
2016-08-26,부여,236,-2.28,-1.26,10.80,-1.29
2016-08-26,금산,238,-1.54,-0.66,27.00,-1.03
2016-08-26,부안,243,-1.74,-1.70,10.70,-1.67
2016-08-26,임실,244,-1.69,-1.27,24.10,-1.28
2016-08-26,정읍,245,-1.28,-1.42,44.80,-0.96
2016-08-26,남원,247,-1.25,-1.04,40.60,-1.14
2016-08-26,장흥,260,-1.81,-1.46,7.10,-1.47
2016-08-26,해남,261,-2.01,-1.52,0.30,-1.53
2016-08-26,고흥,262,-1.96,-1.72,4.70,-1.56
2016-08-26,영주,272,-2.27,-0.37,4.50,-0.89
2016-08-26,문경,273,-2.16,-0.85,7.10,-1.20
2016-08-26,영덕,277,-1.95,-1.58,10.40,-1.12
2016-08-26,의성,278,-1.24,-1.34,31.10,-1.13
2016-08-26,구미,279,-0.88,-0.65,47.50,-0.77
2016-08-26,영천,281,-1.84,-1.57,24.50,-1.26
2016-08-26,거창,284,-1.06,-1.29,35.50,-1.30
2016-08-26,합천,285,-1.00,-1.21,39.80,-0.91
2016-08-26,밀양,288,-1.24,-1.39,30.60,-1.39
2016-08-26,산청,289,-1.38,-1.58,19.30,-1.46
2016-08-26,거제,294,-3.09,-1.13,1.40,-1.01
2016-08-26,남해,295,-3.09,-1.77,0.50,-1.42
