발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2020-03-13,속초,90,0.58,1.12,125.13,1.30
2020-03-13,철원,95,0.89,1.74,151.05,0.05
2020-03-13,대관령,100,0.20,0.28,79.75,-0.85
2020-03-13,춘천,101,1.06,1.85,179.44,0.11
2020-03-13,강릉,105,0.68,0.65,137.87,1.39
2020-03-13,서울,108,0.84,1.59,145.49,-1.21
2020-03-13,인천,112,0.82,1.39,150.34,0.15
2020-03-13,원주,114,0.97,1.57,159.96,-0.48
2020-03-13,수원,119,0.81,1.54,148.59,0.17
2020-03-13,충주,127,1.00,1.62,168.88,0.27
2020-03-13,서산,129,1.10,1.32,184.33,0.46
2020-03-13,울진,130,0.47,0.92,120.03,2.68
2020-03-13,청주,131,0.87,1.27,150.12,0.29
2020-03-13,대전,133,1.12,1.68,174.74,0.75
2020-03-13,추풍령,135,0.93,1.64,162.17,1.83
2020-03-13,안동,136,0.80,1.17,146.53,0.79
2020-03-13,포항,138,0.82,1.65,145.50,2.89
2020-03-13,군산,140,0.66,1.43,129.61,0.69
2020-03-13,대구,143,0.63,1.36,130.39,1.21
2020-03-13,전주,146,0.76,1.29,140.16,0.16
2020-03-13,울산,152,0.44,2.01,112.54,2.72
2020-03-13,창원,155,0.16,1.42,93.16,1.56
2020-03-13,광주,156,0.34,0.90,101.61,-0.10
2020-03-13,부산,159,0.88,1.92,140.70,2.31
2020-03-13,통영,162,-0.05,1.70,88.36,2.52
2020-03-13,목포,165,-0.16,0.69,74.45,0.85
2020-03-13,여수,168,-0.19,1.33,79.65,1.55
2020-03-13,완도,170,-0.48,1.09,60.99,0.97
2020-03-13,제주,184,0.36,0.72,108.43,2.33
2020-03-13,고산,185,-0.07,1.31,89.45,3.15
2020-03-13,성산,188,0.60,1.03,131.89,3.56
2020-03-13,서귀포,189,-0.32,1.25,69.39,1.84
2020-03-13,진주,192,-0.06,1.17,78.11,1.02
2020-03-13,강화,201,0.68,1.68,135.28,0.51
2020-03-13,양평,202,0.71,1.51,130.12,0.10
2020-03-13,이천,203,0.64,1.56,137.68,0.33
2020-03-13,인제,211,1.09,1.99,178.06,0.01
2020-03-13,홍천,212,0.81,1.28,140.06,-1.05
2020-03-13,태백,216,0.16,0.42,92.60,0.51
2020-03-13,제천,221,0.45,1.34,110.05,-0.47
2020-03-13,보은,226,1.17,1.71,182.54,1.06
2020-03-13,천안,232,0.93,1.38,164.54,0.25
2020-03-13,보령,235,1.20,1.44,189.81,0.26
2020-03-13,부여,236,1.04,1.77,170.21,0.79
2020-03-13,금산,238,1.14,1.84,178.68,0.99
2020-03-13,부안,243,0.52,1.15,120.10,0.58
2020-03-13,임실,244,0.86,1.13,148.96,0.32
2020-03-13,정읍,245,0.49,0.80,117.08,0.90
2020-03-13,남원,247,0.80,1.05,141.08,0.81
2020-03-13,장수,248,0.29,0.47,105.18,0.33
2020-03-13,장흥,260,-0.14,1.25,76.45,0.92
2020-03-13,해남,261,-0.55,0.58,57.53,0.48
2020-03-13,고흥,262,-0.39,0.81,64.41,1.46
2020-03-13,봉화,271,0.17,0.32,97.81,0.04
2020-03-13,영주,272,0.45,1.42,109.73,0.49
2020-03-13,문경,273,0.77,1.42,147.17,1.03
2020-03-13,영덕,277,0.42,1.19,110.41,2.95
2020-03-13,의성,278,0.95,1.62,168.53,0.84
2020-03-13,구미,279,0.88,1.49,160.67,2.06
2020-03-13,영천,281,0.93,1.85,163.72,2.02
2020-03-13,거창,284,0.46,1.44,114.11,0.96
2020-03-13,합천,285,0.25,1.21,97.28,1.45
2020-03-13,밀양,288,0.85,1.58,147.67,1.60
2020-03-13,산청,289,-0.14,1.00,67.31,1.31
2020-03-13,거제,294,0.28,1.52,98.39,2.26
2020-03-13,남해,295,-0.13,1.66,78.36,2.14
