발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2019-12-20,속초,90,1.46,1.25,310.95,0.73
2019-12-20,철원,95,-0.37,-0.66,66.24,-1.20
2019-12-20,대관령,100,-0.84,0.97,36.17,-1.02
2019-12-20,춘천,101,-0.89,0.14,45.42,-1.36
2019-12-20,강릉,105,0.92,2.36,173.95,1.52
2019-12-20,서울,108,-0.50,0.17,65.64,-1.48
2019-12-20,인천,112,-0.39,0.05,67.73,-1.00
2019-12-20,원주,114,-1.33,0.62,32.61,-2.02
2019-12-20,수원,119,-0.41,0.74,69.09,-1.25
2019-12-20,충주,127,-0.99,1.22,41.46,-1.20
2019-12-20,서산,129,-0.34,1.13,76.52,-0.58
2019-12-20,울진,130,0.86,3.23,163.34,2.62
2019-12-20,청주,131,-0.91,1.60,43.14,-0.93
2019-12-20,대전,133,-1.05,1.86,41.05,-0.76
2019-12-20,추풍령,135,-0.71,2.38,58.43,0.43
2019-12-20,안동,136,-0.68,1.80,43.47,-0.38
2019-12-20,포항,138,0.79,3.12,162.59,1.78
2019-12-20,군산,140,-1.22,1.91,42.43,-0.13
2019-12-20,대구,143,0.33,1.94,101.36,0.21
2019-12-20,전주,146,-0.91,1.45,49.63,-0.98
2019-12-20,울산,152,0.65,2.47,137.49,1.24
2019-12-20,창원,155,0.08,2.08,84.04,0.48
2019-12-20,광주,156,-0.76,1.54,49.60,-0.75
2019-12-20,부산,159,0.31,1.70,100.56,0.56
2019-12-20,통영,162,0.21,2.18,90.43,1.02
2019-12-20,목포,165,-0.45,1.87,62.83,0.52
2019-12-20,여수,168,-0.06,2.24,70.63,0.54
2019-12-20,완도,170,-0.34,1.50,51.43,0.46
2019-12-20,제주,184,-0.29,2.22,73.93,1.81
2019-12-20,고산,185,0.12,1.47,91.84,2.42
2019-12-20,성산,188,-0.11,2.08,80.08,2.15
2019-12-20,서귀포,189,0.00,1.08,74.36,1.04
2019-12-20,진주,192,0.21,2.04,91.31,0.32
2019-12-20,강화,201,0.15,0.02,98.01,-0.17
2019-12-20,양평,202,-0.63,0.72,53.70,-0.95
2019-12-20,이천,203,-0.93,1.11,45.05,-0.85
2019-12-20,인제,211,-1.05,0.23,33.95,-1.35
2019-12-20,홍천,212,-1.03,0.43,33.75,-1.43
2019-12-20,태백,216,-1.28,1.39,11.11,0.07
2019-12-20,제천,221,-1.28,1.12,30.27,-1.48
2019-12-20,보은,226,-0.81,2.13,50.10,-0.34
2019-12-20,천안,232,-1.52,1.57,29.19,-0.89
2019-12-20,보령,235,-1.20,1.39,39.20,-0.96
2019-12-20,부여,236,-1.19,1.56,36.83,-0.55
2019-12-20,금산,238,-0.91,1.70,48.30,-0.78
2019-12-20,부안,243,-1.26,1.44,37.48,-0.27
2019-12-20,임실,244,-0.77,1.57,56.57,-0.61
2019-12-20,정읍,245,-1.19,1.78,39.03,0.22
2019-12-20,남원,247,-0.27,2.10,80.48,0.18
2019-12-20,장수,248,-0.66,1.00,51.87,-0.06
2019-12-20,장흥,260,-0.20,2.17,63.45,0.28
2019-12-20,해남,261,-0.40,2.03,65.08,0.28
2019-12-20,고흥,262,-0.25,2.29,54.58,0.98
2019-12-20,봉화,271,-1.18,0.65,13.56,-0.46
2019-12-20,영주,272,-0.85,1.88,28.35,-0.49
2019-12-20,문경,273,-0.86,2.02,35.45,-0.11
2019-12-20,영덕,277,1.22,3.39,235.52,2.52
2019-12-20,의성,278,-0.31,2.23,55.09,-0.46
2019-12-20,구미,279,-0.37,2.64,53.80,0.77
2019-12-20,영천,281,0.40,2.09,107.08,0.44
2019-12-20,거창,284,-0.25,2.10,61.63,0.12
2019-12-20,합천,285,0.20,2.58,85.89,0.88
2019-12-20,밀양,288,0.31,1.83,93.13,0.28
2019-12-20,산청,289,0.04,2.45,73.95,0.89
2019-12-20,거제,294,0.29,2.34,99.56,1.17
2019-12-20,남해,295,-0.08,2.01,67.73,0.95
