발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2019-09-03,속초,90,0.15,-0.12,93.70,-0.61
2019-09-03,철원,95,-0.58,-0.98,50.40,-1.54
2019-09-03,대관령,100,-0.73,-1.04,52.70,-1.41
2019-09-03,춘천,101,-0.41,-1.18,58.10,-1.58
2019-09-03,강릉,105,0.02,-0.02,85.40,-0.69
2019-09-03,서울,108,-0.64,-1.43,45.50,-1.82
2019-09-03,인천,112,-0.80,-1.24,40.70,-1.68
2019-09-03,원주,114,-0.79,-2.15,47.70,-2.41
2019-09-03,수원,119,-1.04,-1.87,38.10,-2.32
2019-09-03,충주,127,-0.97,-1.94,39.80,-1.99
2019-09-03,서산,129,-0.76,-1.45,40.90,-1.60
2019-09-03,울진,130,-0.32,-0.22,66.10,-0.65
2019-09-03,청주,131,-1.39,-1.76,29.80,-1.88
2019-09-03,대전,133,-1.16,-1.69,38.00,-1.60
2019-09-03,추풍령,135,0.14,-0.56,95.20,-0.73
2019-09-03,안동,136,-0.56,-1.69,61.70,-1.41
2019-09-03,포항,138,0.42,0.07,106.10,-0.39
2019-09-03,군산,140,-0.86,-1.23,43.50,-1.27
2019-09-03,대구,143,-0.58,-0.73,61.10,-1.03
2019-09-03,전주,146,-0.99,-1.52,48.40,-1.63
2019-09-03,울산,152,0.21,0.43,88.60,-0.21
2019-09-03,창원,155,-0.90,-0.01,40.00,-0.65
2019-09-03,광주,156,-2.06,-1.10,24.00,-1.40
2019-09-03,부산,159,0.08,0.67,77.50,0.04
2019-09-03,통영,162,-0.57,0.77,55.00,0.14
2019-09-03,목포,165,-0.24,-0.26,72.40,-0.56
2019-09-03,여수,168,-1.01,0.03,42.80,-0.38
2019-09-03,완도,170,-0.39,0.26,61.10,-0.09
2019-09-03,제주,184,0.28,0.98,107.60,0.68
2019-09-03,고산,185,1.48,1.34,195.70,1.76
2019-09-03,성산,188,0.73,1.01,126.50,1.10
2019-09-03,서귀포,189,0.54,0.59,120.30,0.74
2019-09-03,진주,192,-1.39,-0.65,30.60,-1.03
2019-09-03,강화,201,-0.92,-1.20,34.90,-1.91
2019-09-03,양평,202,-0.42,-1.30,57.80,-1.74
2019-09-03,이천,203,-1.57,-1.50,23.90,-1.93
2019-09-03,인제,211,-0.67,-1.52,45.40,-1.68
2019-09-03,홍천,212,-0.72,-1.37,47.40,-1.76
2019-09-03,태백,216,-0.25,-0.35,74.80,-1.09
2019-09-03,제천,221,-1.12,-1.80,34.60,-1.96
2019-09-03,보은,226,-0.70,-1.24,53.50,-1.11
2019-09-03,천안,232,-1.28,-1.32,30.70,-1.37
2019-09-03,보령,235,-0.58,-1.44,44.40,-1.41
2019-09-03,부여,236,-1.04,-1.52,37.20,-1.50
2019-09-03,금산,238,-0.93,-1.86,48.70,-1.70
2019-09-03,부안,243,-0.74,-0.95,53.80,-1.01
2019-09-03,임실,244,-0.92,-1.02,48.30,-1.21
2019-09-03,정읍,245,-0.43,-0.67,74.50,-0.86
2019-09-03,남원,247,-0.97,-0.08,46.40,-0.75
2019-09-03,장수,248,-0.82,-0.08,35.20,-0.71
2019-09-03,장흥,260,-1.15,-0.39,37.60,-0.69
2019-09-03,해남,261,-0.03,-0.95,85.00,-0.80
2019-09-03,고흥,262,-0.82,0.16,45.60,-0.25
2019-09-03,봉화,271,-0.24,-0.01,62.30,-0.72
2019-09-03,영주,272,-1.16,-1.58,36.80,-1.67
2019-09-03,문경,273,-0.37,-0.96,65.30,-0.97
2019-09-03,영덕,277,-0.10,0.38,76.40,-0.32
2019-09-03,의성,278,-0.41,-1.23,64.70,-1.12
2019-09-03,구미,279,-0.47,-0.79,66.90,-0.78
2019-09-03,영천,281,-0.11,-0.07,80.40,-0.64
2019-09-03,거창,284,-1.14,-0.99,34.10,-1.18
2019-09-03,합천,285,-1.10,-0.50,37.40,-0.87
2019-09-03,밀양,288,-0.91,-0.49,46.10,-0.96
2019-09-03,산청,289,-1.21,-0.36,31.20,-0.76
2019-09-03,거제,294,-0.39,0.79,60.10,0.18
2019-09-03,남해,295,-0.94,0.54,44.20,0.03
