발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2013-10-18,속초,90,0.99,-0.52,151.90,-0.64
2013-10-18,철원,95,-,-,74.86,-
2013-10-18,대관령,100,0.27,-1.70,62.80,-1.50
2013-10-18,춘천,101,-0.06,-0.08,59.90,0.91
2013-10-18,강릉,105,1.02,-1.17,152.90,-1.00
2013-10-18,서울,108,0.00,-0.33,47.40,-0.32
2013-10-18,인천,112,-0.10,-0.21,44.10,-0.30
2013-10-18,원주,114,0.06,0.34,53.10,0.19
2013-10-18,수원,119,-0.05,-0.27,46.40,-0.50
2013-10-18,충주,127,0.23,-0.14,72.70,-0.53
2013-10-18,서산,129,-0.30,-0.55,35.40,-0.80
2013-10-18,울진,130,1.73,-0.40,249.80,0.53
2013-10-18,청주,131,0.37,-0.20,85.10,-0.21
2013-10-18,대전,133,0.20,-0.58,77.40,-0.83
2013-10-18,추풍령,135,0.66,-0.87,125.70,-0.83
2013-10-18,안동,136,-,-,100.00,-
2013-10-18,포항,138,1.35,-0.41,246.00,0.00
2013-10-18,군산,140,0.44,-0.21,102.10,-0.57
2013-10-18,대구,143,1.21,-0.07,216.40,0.21
2013-10-18,전주,146,0.30,0.27,93.70,-0.20
2013-10-18,울산,152,0.86,-1.16,156.30,-0.84
2013-10-18,창원,155,-,-,100.00,-
2013-10-18,광주,156,-0.15,-0.16,50.00,-0.34
2013-10-18,부산,159,0.49,-0.94,111.50,-0.70
2013-10-18,통영,162,0.80,-0.92,153.70,-0.51
2013-10-18,목포,165,-0.51,-0.10,23.70,-0.27
2013-10-18,여수,168,0.42,-0.60,103.40,-0.52
2013-10-18,완도,170,-0.37,-0.84,38.40,-0.75
2013-10-18,제주,184,0.61,-1.60,117.50,-1.00
2013-10-18,고산,185,-,-,92.82,-
2013-10-18,성산,188,0.66,-1.07,137.00,-0.98
2013-10-18,서귀포,189,0.34,-1.47,95.70,-1.36
2013-10-18,진주,192,0.53,-0.68,117.10,-0.56
2013-10-18,강화,201,-0.35,-0.53,43.10,-0.47
2013-10-18,양평,202,0.12,0.37,53.70,0.43
2013-10-18,이천,203,0.12,0.35,48.20,-0.15
2013-10-18,인제,211,0.34,-0.33,86.50,0.16
2013-10-18,홍천,212,-0.02,-0.99,45.30,-0.53
2013-10-18,태백,216,-,-,100.00,-
2013-10-18,제천,221,0.27,0.39,71.40,-0.14
2013-10-18,보은,226,0.44,-0.51,100.80,-0.59
2013-10-18,천안,232,-0.14,-0.26,48.50,-0.58
2013-10-18,보령,235,-0.25,0.66,50.40,0.56
2013-10-18,부여,236,0.27,-0.10,76.90,-0.49
2013-10-18,금산,238,0.45,-0.66,107.10,-0.93
2013-10-18,부안,243,-0.07,0.02,52.60,-0.32
2013-10-18,임실,244,0.39,0.39,97.60,0.11
2013-10-18,정읍,245,-0.27,-0.71,40.90,-0.80
2013-10-18,남원,247,1.03,0.37,210.80,0.35
2013-10-18,장수,248,-,-,100.00,-
2013-10-18,장흥,260,-0.21,-0.53,44.10,-0.77
2013-10-18,해남,261,-0.46,-0.69,29.10,-0.69
2013-10-18,고흥,262,0.57,-0.53,122.30,-0.49
2013-10-18,봉화,271,-,-,100.00,-
2013-10-18,영주,272,0.98,-0.67,160.30,-0.39
2013-10-18,문경,273,0.77,-0.25,134.00,-0.19
2013-10-18,영덕,277,1.71,-0.48,266.10,0.02
2013-10-18,의성,278,0.85,-0.87,148.20,-0.55
2013-10-18,구미,279,0.83,-0.31,150.90,-0.37
2013-10-18,영천,281,1.27,-0.20,220.90,0.11
2013-10-18,거창,284,0.81,-0.10,153.50,-0.26
2013-10-18,합천,285,1.34,0.12,249.80,0.39
2013-10-18,밀양,288,0.60,-0.38,113.20,-0.43
2013-10-18,산청,289,0.91,-0.63,161.50,-0.41
2013-10-18,거제,294,0.88,-0.92,159.60,-0.71
2013-10-18,남해,295,0.60,-0.72,124.20,-0.49
