발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2018-08-28,속초,90,1.32,0.42,167.50,0.44
2018-08-28,철원,95,-0.86,-1.22,35.10,-1.18
2018-08-28,대관령,100,0.90,0.15,137.70,0.27
2018-08-28,춘천,101,-0.76,-1.16,46.70,-0.96
2018-08-28,강릉,105,0.91,0.14,144.60,0.47
2018-08-28,서울,108,-3.09,-1.64,15.60,-1.23
2018-08-28,인천,112,-1.63,-1.35,18.20,-1.27
2018-08-28,원주,114,-1.02,-1.71,45.80,-1.14
2018-08-28,수원,119,-1.55,-1.42,29.00,-0.94
2018-08-28,충주,127,-0.88,-1.73,47.70,-1.04
2018-08-28,서산,129,-0.67,-0.82,44.10,-0.61
2018-08-28,울진,130,-0.42,-0.34,55.60,-0.40
2018-08-28,청주,131,-1.01,-0.70,46.70,-0.37
2018-08-28,대전,133,-0.68,-0.88,55.10,-0.46
2018-08-28,추풍령,135,0.54,-0.62,129.30,0.84
2018-08-28,안동,136,-0.11,-1.19,81.80,-0.09
2018-08-28,포항,138,0.12,-0.18,84.30,-0.06
2018-08-28,군산,140,0.63,0.46,128.10,1.09
2018-08-28,대구,143,0.77,0.32,139.00,1.27
2018-08-28,전주,146,0.06,-0.50,99.40,0.38
2018-08-28,울산,152,0.66,0.19,124.30,0.49
2018-08-28,창원,155,-0.11,-0.54,65.60,-0.55
2018-08-28,광주,156,0.40,-0.29,107.40,0.36
2018-08-28,부산,159,-0.17,-0.43,54.50,-0.37
2018-08-28,통영,162,-0.06,-0.02,67.40,0.00
2018-08-28,목포,165,0.49,-0.51,114.40,0.20
2018-08-28,여수,168,-1.65,-0.90,14.30,-1.20
2018-08-28,완도,170,-0.27,-1.15,62.50,-0.85
2018-08-28,제주,184,1.04,0.26,165.50,0.65
2018-08-28,고산,185,-0.26,-0.92,75.20,-0.05
2018-08-28,성산,188,-0.98,-0.79,43.50,-0.75
2018-08-28,서귀포,189,-0.40,-1.22,60.90,-0.59
2018-08-28,진주,192,-0.33,-0.44,62.60,-0.36
2018-08-28,강화,201,-1.36,-1.89,21.80,-1.79
2018-08-28,양평,202,-1.14,-1.22,35.90,-0.86
2018-08-28,이천,203,-0.72,-0.92,52.10,-0.62
2018-08-28,인제,211,-1.87,-1.14,20.50,-1.09
2018-08-28,홍천,212,-0.57,-1.27,52.60,-0.65
2018-08-28,태백,216,-0.02,-0.30,86.30,-0.28
2018-08-28,제천,221,-0.68,-1.09,53.40,-0.93
2018-08-28,보은,226,-0.62,-0.93,58.60,-0.38
2018-08-28,천안,232,-0.71,-1.24,47.50,-0.64
2018-08-28,보령,235,-0.37,-0.56,59.20,-0.31
2018-08-28,부여,236,-0.17,-0.24,79.40,0.14
2018-08-28,금산,238,0.42,-0.55,119.10,0.59
2018-08-28,부안,243,-0.32,-0.42,81.20,0.16
2018-08-28,임실,244,0.78,0.03,131.50,1.22
2018-08-28,정읍,245,-0.12,-0.59,84.80,-0.05
2018-08-28,남원,247,1.01,-0.02,144.60,1.12
2018-08-28,장수,248,1.08,0.24,164.80,1.46
2018-08-28,장흥,260,-0.08,-0.75,83.90,-0.53
2018-08-28,해남,261,-0.29,-0.93,75.40,-0.74
2018-08-28,고흥,262,-0.90,-0.90,38.80,-0.99
2018-08-28,봉화,271,-0.22,-0.33,60.80,-0.34
2018-08-28,영주,272,0.18,-0.49,95.20,-0.01
2018-08-28,문경,273,-0.61,-1.36,57.60,-0.64
2018-08-28,영덕,277,0.14,-0.09,93.60,-0.09
2018-08-28,의성,278,-0.50,-0.68,62.50,-0.17
2018-08-28,구미,279,0.07,0.46,94.20,0.98
2018-08-28,영천,281,0.40,-0.12,108.60,0.58
2018-08-28,거창,284,0.27,-0.75,104.00,0.15
2018-08-28,합천,285,0.29,-0.29,108.00,0.75
2018-08-28,밀양,288,0.94,0.03,156.60,1.46
2018-08-28,산청,289,0.77,-0.22,136.00,0.89
2018-08-28,거제,294,0.57,0.51,117.50,0.72
2018-08-28,남해,295,-0.83,-0.60,38.70,-0.58
