발표일자,지점명,지점코드,spi1,spi3,edi
2015-12-02,속초,90,2.65,1.05,1.30
2015-12-02,대관령,100,1.57,-0.38,-1.53
2015-12-02,춘천,101,2.04,0.31,-2.02
2015-12-02,강릉,105,2.28,0.37,0.17
2015-12-02,서울,108,1.40,0.29,-2.31
2015-12-02,인천,112,1.50,0.22,-2.39
2015-12-02,원주,114,1.96,0.04,-1.43
2015-12-02,수원,119,1.78,0.04,-2.01
2015-12-02,충주,127,1.55,-0.20,-1.61
2015-12-02,서산,129,1.94,0.25,-1.21
2015-12-02,울진,130,2.04,0.00,0.18
2015-12-02,청주,131,1.48,0.04,-1.73
2015-12-02,대전,133,1.71,0.24,-1.30
2015-12-02,추풍령,135,1.91,0.26,-0.89
2015-12-02,포항,138,1.62,-0.12,-0.37
2015-12-02,군산,140,1.82,0.64,-0.54
2015-12-02,대구,143,1.28,-0.67,-0.44
2015-12-02,전주,146,1.32,0.08,-1.37
2015-12-02,울산,152,1.33,-0.04,-0.49
2015-12-02,광주,156,1.65,0.40,-0.50
2015-12-02,부산,159,1.34,0.65,-0.25
2015-12-02,통영,162,1.06,0.44,-0.11
2015-12-02,목포,165,1.48,0.59,-0.23
2015-12-02,여수,168,0.91,-0.12,-0.67
2015-12-02,완도,170,0.91,0.40,-0.08
2015-12-02,제주,184,1.64,0.40,0.65
2015-12-02,성산,188,1.67,1.11,1.51
2015-12-02,서귀포,189,1.54,1.40,1.46
2015-12-02,진주,192,1.43,0.19,-0.41
2015-12-02,강화,201,1.51,0.41,-2.72
2015-12-02,양평,202,2.01,0.19,-2.23
2015-12-02,이천,203,2.07,0.22,-1.56
2015-12-02,인제,211,2.06,0.29,-1.83
2015-12-02,홍천,212,2.05,0.17,-2.40
2015-12-02,제천,221,1.76,0.02,-1.68
2015-12-02,보은,226,1.64,0.20,-1.15
2015-12-02,천안,232,1.82,0.04,-1.49
2015-12-02,보령,235,1.83,0.42,-1.37
2015-12-02,부여,236,1.54,0.36,-1.25
2015-12-02,금산,238,1.58,0.28,-1.04
2015-12-02,부안,243,1.54,0.27,-0.71
2015-12-02,임실,244,1.27,0.21,-1.20
2015-12-02,정읍,245,1.32,0.31,-0.79
2015-12-02,남원,247,1.37,0.25,-1.03
2015-12-02,장흥,260,0.91,0.04,-0.80
2015-12-02,해남,261,0.87,0.04,-0.43
2015-12-02,고흥,262,0.71,-0.08,-0.41
2015-12-02,영주,272,1.57,-0.04,-1.35
2015-12-02,문경,273,1.93,0.34,-1.27
2015-12-02,영덕,277,2.12,0.59,0.24
2015-12-02,의성,278,1.53,-0.58,-1.34
2015-12-02,구미,279,1.54,-0.18,-0.81
2015-12-02,영천,281,1.38,-0.43,-0.61
2015-12-02,거창,284,1.62,-0.04,-0.58
2015-12-02,합천,285,1.39,-0.28,-0.54
2015-12-02,밀양,288,1.07,0.03,-0.69
2015-12-02,산청,289,1.37,-0.12,-0.33
2015-12-02,거제,294,1.46,0.64,-0.04
2015-12-02,남해,295,1.38,0.14,-0.24
