발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2020-08-25,속초,90,1.22,2.00,165.85,2.19
2020-08-25,철원,95,2.13,1.36,257.54,1.66
2020-08-25,대관령,100,0.39,0.32,101.29,-0.07
2020-08-25,춘천,101,2.01,0.84,236.50,1.02
2020-08-25,강릉,105,0.12,1.16,91.01,0.69
2020-08-25,서울,108,1.37,0.82,177.72,0.71
2020-08-25,인천,112,1.30,0.81,173.98,0.68
2020-08-25,원주,114,1.69,0.42,212.12,0.97
2020-08-25,수원,119,1.98,1.47,242.81,1.80
2020-08-25,충주,127,1.87,1.11,228.73,1.35
2020-08-25,서산,129,1.07,0.96,154.70,0.61
2020-08-25,울진,130,0.70,1.57,129.78,0.94
2020-08-25,청주,131,1.36,0.88,165.48,0.76
2020-08-25,대전,133,1.54,1.29,196.42,1.09
2020-08-25,추풍령,135,1.18,1.62,171.45,1.28
2020-08-25,안동,136,1.52,1.64,206.77,1.39
2020-08-25,포항,138,0.57,0.79,117.00,0.28
2020-08-25,군산,140,1.67,1.80,240.29,2.02
2020-08-25,대구,143,1.32,1.40,174.65,0.96
2020-08-25,전주,146,2.03,2.09,253.59,2.51
2020-08-25,울산,152,0.12,1.05,82.19,0.31
2020-08-25,창원,155,0.27,0.89,87.35,0.06
2020-08-25,광주,156,2.62,2.28,304.71,2.32
2020-08-25,부산,159,1.45,2.18,198.86,1.80
2020-08-25,통영,162,0.94,1.92,150.86,1.36
2020-08-25,목포,165,0.20,1.35,89.15,0.76
2020-08-25,여수,168,0.20,1.38,87.21,0.75
2020-08-25,완도,170,-0.96,0.14,24.04,-0.39
2020-08-25,제주,184,-0.90,-0.66,39.34,-1.03
2020-08-25,고산,185,-0.43,0.92,64.31,0.20
2020-08-25,성산,188,-0.36,0.49,63.78,-0.09
2020-08-25,서귀포,189,-1.20,0.09,37.74,-0.48
2020-08-25,진주,192,1.24,1.40,164.27,1.17
2020-08-25,강화,201,0.96,0.67,148.58,0.58
2020-08-25,양평,202,1.45,0.42,181.68,0.44
2020-08-25,이천,203,2.01,1.28,234.30,1.60
2020-08-25,인제,211,1.93,0.73,222.72,1.02
2020-08-25,홍천,212,2.10,0.89,226.70,0.96
2020-08-25,태백,216,1.15,0.61,156.50,0.37
2020-08-25,제천,221,2.28,1.09,278.76,1.51
2020-08-25,보은,226,1.81,1.24,218.20,1.09
2020-08-25,천안,232,1.54,1.05,199.38,1.02
2020-08-25,보령,235,0.94,0.77,147.45,0.46
2020-08-25,부여,236,1.12,1.18,165.69,1.00
2020-08-25,금산,238,1.79,1.89,219.88,1.95
2020-08-25,부안,243,2.12,2.00,267.87,2.30
2020-08-25,임실,244,1.84,1.81,220.47,1.81
2020-08-25,정읍,245,1.74,1.41,216.25,1.41
2020-08-25,남원,247,2.70,2.14,301.44,2.61
2020-08-25,장수,248,2.11,1.77,294.73,2.13
2020-08-25,장흥,260,0.26,0.78,90.46,0.15
2020-08-25,해남,261,-0.68,0.54,42.16,-0.16
2020-08-25,고흥,262,-0.54,0.30,50.84,-0.30
2020-08-25,봉화,271,1.72,1.01,245.07,1.00
2020-08-25,영주,272,1.43,1.22,190.06,1.18
2020-08-25,문경,273,1.83,1.71,229.66,2.00
2020-08-25,영덕,277,0.57,1.77,121.79,1.17
2020-08-25,의성,278,1.07,1.15,157.22,0.59
2020-08-25,구미,279,1.83,2.23,229.09,2.05
2020-08-25,영천,281,1.24,1.05,165.59,0.61
2020-08-25,거창,284,1.64,1.80,218.71,1.59
2020-08-25,합천,285,1.25,1.61,179.41,1.43
2020-08-25,밀양,288,0.65,0.83,121.28,0.31
2020-08-25,산청,289,1.55,1.85,207.26,1.71
2020-08-25,거제,294,0.99,1.58,160.19,1.03
2020-08-25,남해,295,0.18,1.07,85.60,0.47
