발표일자,지점명,지점코드,spi1,spi3,edi
2016-03-10,속초,90,0.28,-0.70,-0.04
2016-03-10,대관령,100,0.02,-0.85,-1.69
2016-03-10,춘천,101,1.79,1.11,-0.31
2016-03-10,강릉,105,-0.14,-0.37,-0.80
2016-03-10,서울,108,1.47,0.70,-2.24
2016-03-10,인천,112,1.63,0.92,-0.47
2016-03-10,원주,114,1.37,0.59,-0.48
2016-03-10,수원,119,1.74,1.29,0.06
2016-03-10,충주,127,0.84,0.28,-1.58
2016-03-10,서산,129,1.40,1.06,-0.14
2016-03-10,울진,130,0.01,-0.59,-0.73
2016-03-10,청주,131,0.53,0.16,-2.10
2016-03-10,대전,133,0.86,0.53,-1.36
2016-03-10,추풍령,135,1.18,1.14,0.28
2016-03-10,포항,138,0.41,0.68,0.22
2016-03-10,군산,140,0.62,1.00,-0.19
2016-03-10,대구,143,0.98,1.19,0.64
2016-03-10,전주,146,1.08,1.10,-0.07
2016-03-10,울산,152,0.76,1.14,0.44
2016-03-10,광주,156,0.94,1.35,0.42
2016-03-10,부산,159,1.69,1.89,1.72
2016-03-10,통영,162,2.11,2.54,2.50
2016-03-10,목포,165,0.89,2.05,1.33
2016-03-10,여수,168,1.54,1.81,1.03
2016-03-10,완도,170,1.11,2.01,1.18
2016-03-10,제주,184,0.92,2.05,2.03
2016-03-10,성산,188,1.99,2.70,5.56
2016-03-10,서귀포,189,1.76,2.22,3.55
2016-03-10,진주,192,1.70,1.78,1.38
2016-03-10,강화,201,1.91,1.13,-0.49
2016-03-10,양평,202,0.64,-0.18,-2.47
2016-03-10,이천,203,1.68,1.15,0.20
2016-03-10,인제,211,1.64,0.86,-0.15
2016-03-10,홍천,212,1.18,0.38,-2.25
2016-03-10,제천,221,1.28,0.64,-1.50
2016-03-10,보은,226,1.08,0.74,-0.42
2016-03-10,천안,232,0.72,0.24,-1.72
2016-03-10,보령,235,0.95,0.79,-1.38
2016-03-10,부여,236,0.64,0.50,-1.41
2016-03-10,금산,238,1.16,0.77,-0.23
2016-03-10,부안,243,0.87,1.58,0.33
2016-03-10,임실,244,1.15,1.26,0.15
2016-03-10,정읍,245,1.12,1.53,0.77
2016-03-10,남원,247,1.50,1.43,0.42
2016-03-10,장흥,260,1.42,2.04,0.90
2016-03-10,해남,261,1.15,1.70,1.22
2016-03-10,고흥,262,1.26,1.75,0.97
2016-03-10,영주,272,1.16,0.72,-1.12
2016-03-10,문경,273,1.07,0.84,-0.36
2016-03-10,영덕,277,-0.18,-0.30,-0.63
2016-03-10,의성,278,1.03,0.65,-1.08
2016-03-10,구미,279,0.90,1.10,0.04
2016-03-10,영천,281,1.27,1.35,0.83
2016-03-10,거창,284,1.10,1.23,0.23
2016-03-10,합천,285,1.36,1.62,0.86
2016-03-10,밀양,288,1.45,1.73,0.95
2016-03-10,산청,289,1.14,1.34,0.59
2016-03-10,거제,294,1.69,2.03,1.61
2016-03-10,남해,295,1.75,1.94,1.53
