발표일자,지점명,지점코드,spi1,spi3,edi
2015-11-30,속초,90,2.63,0.84,1.41
2015-11-30,대관령,100,1.47,-0.46,-1.53
2015-11-30,춘천,101,2.08,0.08,-2.07
2015-11-30,강릉,105,2.24,0.30,0.23
2015-11-30,서울,108,1.37,0.08,-2.31
2015-11-30,인천,112,1.44,0.03,-2.39
2015-11-30,원주,114,1.84,0.00,-1.44
2015-11-30,수원,119,1.70,-0.16,-2.05
2015-11-30,충주,127,1.49,-0.23,-1.61
2015-11-30,서산,129,1.96,0.16,-1.19
2015-11-30,울진,130,1.99,-0.07,0.24
2015-11-30,청주,131,1.50,-0.09,-1.70
2015-11-30,대전,133,1.74,0.18,-1.27
2015-11-30,추풍령,135,1.97,0.34,-0.88
2015-11-30,포항,138,1.59,0.13,-0.36
2015-11-30,군산,140,1.78,0.83,-0.49
2015-11-30,대구,143,1.25,-0.19,-0.44
2015-11-30,전주,146,1.35,0.23,-1.33
2015-11-30,울산,152,1.28,0.36,-0.49
2015-11-30,광주,156,1.65,0.42,-0.49
2015-11-30,부산,159,1.30,0.64,-0.25
2015-11-30,통영,162,1.02,0.37,-0.11
2015-11-30,목포,165,1.50,0.48,-0.20
2015-11-30,여수,168,0.81,-0.17,-0.67
2015-11-30,완도,170,0.84,0.27,-0.07
2015-11-30,제주,184,1.76,0.30,0.70
2015-11-30,성산,188,1.63,1.07,1.54
2015-11-30,서귀포,189,1.55,1.32,1.47
2015-11-30,진주,192,1.41,0.41,-0.41
2015-11-30,강화,201,1.47,0.26,-2.73
2015-11-30,양평,202,1.95,0.22,-2.23
2015-11-30,이천,203,1.99,0.13,-1.60
2015-11-30,인제,211,2.01,0.15,-1.84
2015-11-30,홍천,212,1.99,0.08,-2.40
2015-11-30,제천,221,1.75,0.01,-1.67
2015-11-30,보은,226,1.66,0.22,-1.13
2015-11-30,천안,232,1.85,-0.08,-1.45
2015-11-30,보령,235,1.86,0.32,-1.31
2015-11-30,부여,236,1.51,0.32,-1.21
2015-11-30,금산,238,1.57,0.22,-1.01
2015-11-30,부안,243,1.54,0.49,-0.66
2015-11-30,임실,244,1.26,0.23,-1.17
2015-11-30,정읍,245,1.32,0.21,-0.76
2015-11-30,남원,247,1.28,0.28,-1.01
2015-11-30,장흥,260,0.86,-0.04,-0.79
2015-11-30,해남,261,0.81,-0.04,-0.41
2015-11-30,고흥,262,0.62,-0.07,-0.41
2015-11-30,영주,272,1.54,-0.06,-1.35
2015-11-30,문경,273,1.91,0.26,-1.25
2015-11-30,영덕,277,2.08,0.59,0.28
2015-11-30,의성,278,1.51,-0.15,-1.34
2015-11-30,구미,279,1.53,0.18,-0.81
2015-11-30,영천,281,1.33,-0.07,-0.61
2015-11-30,거창,284,1.64,0.02,-0.57
2015-11-30,합천,285,1.38,-0.06,-0.53
2015-11-30,밀양,288,1.05,0.15,-0.69
2015-11-30,산청,289,1.35,-0.07,-0.33
2015-11-30,거제,294,1.42,0.64,-0.04
2015-11-30,남해,295,1.35,0.17,-0.24
